상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
허가취소,서울특별시 광진구 자양동 8-8번지 ,서울특별시 광진구 동일로20길 55  (자양동),,스타게임월드,205827.7177,448728.8064
허가취소,서울특별시 광진구 화양동 112-12번지 ,서울특별시 광진구 능동로19길 11  (화양동),,스타오락실,206385.9234,449411.9133
폐업,서울특별시 광진구 중곡동 245-39번지 ,서울특별시 광진구 면목로 99-1  (중곡동),,스타월드게임장,206932.7295,451161.0835
폐업,서울특별시 광진구 중곡동 92-9번지 ,서울특별시 광진구 용마산로 16  (중곡동),,제일,207760.534,450312.9516
허가취소,서울특별시 광진구 구의동 246-13번지 ,서울특별시 광진구 아차산로 377  (구의동),,에이스게임랜드,207418.4817,448333.1576
폐업,서울특별시 광진구 구의동 243-2번지 ,서울특별시 광진구 자양로18길 96  (구의동),,투투게임빌리지,207778.271,448477.6402
폐업,서울특별시 광진구 중곡동 613-14번지 ,서울특별시 광진구 천호대로101길 21-4  (중곡동),,환타지,206547.3477,450899.4369
허가취소,서울특별시 광진구 구의동 250-21번지 ,서울특별시 광진구 자양로 162  (구의동),,투.나인,207377.2282,448874.7464
직권말소,서울특별시 광진구 자양동 42-3번지 ,,,노룬산,,
폐업,서울특별시 광진구 화양동 7-44번지 ,서울특별시 광진구 아차산로 225  (화양동),,로데오오락실,205981.4374,448746.8868
폐업,서울특별시 광진구 구의동 199-6번지 ,서울특별시 광진구 아차산로 484  (구의동),,광남,208385.6149,448722.9525
폐업,서울특별시 광진구 화양동 48-25번지 ,서울특별시 광진구 아차산로29길 7  (화양동),,라스베가스,205948.348,448786.6694
허가취소,서울특별시 광진구 자양동 845-15번지 ,서울특별시 광진구 뚝섬로23길 37  (자양동),,팡팡게임랜드,205716.8515,448342.2701
폐업,서울특별시 광진구 화양동 47-81번지 ,서울특별시 광진구 아차산로29길 19  (화양동),,게임월드,205972.7101,448845.693
폐업,서울특별시 광진구 중곡동 40-1번지 ,서울특별시 광진구 능동로 376  (중곡동),,Y2K 게임뱅크,207247.7421,451159.9838
허가취소,서울특별시 광진구 구의동 631-1번지 ,,,프라임게임월드,208558.2866,448353.9052
폐업,서울특별시 광진구 구의동 546-4번지 프라임센타1층 ,"서울특별시 광진구 광나루로56길 85  (구의동,프라임센타1층)",,DMZ,208394.4164,448165.28
폐업,서울특별시 광진구 화양동 110-37번지 ,서울특별시 광진구 능동로19길 47  (화양동),,신인류게임뱅크,206219.8419,449420.8621
폐업,서울특별시 광진구 자양동 52-203번지 ,서울특별시 광진구 뚝섬로24길 10  (자양동),,시티게임랜드,205538.5978,448203.1863
폐업,서울특별시 광진구 중곡동 245-1번지 ,서울특별시 광진구 면목로 105  (중곡동),,아마겟돈게임장,206952.8346,451192.7863
직권말소,서울특별시 광진구 중곡동 116-21번지 ,,,백악관,,
직권말소,서울특별시 광진구 화양동 116-16번지 2층 ,"서울특별시 광진구 광나루로 368-1  (화양동,2층)",,스페셜게임장,206188.5077,449504.1028
폐업,서울특별시 광진구 자양동 845-10번지 ,서울특별시 광진구 뚝섬로27길 37  (자양동),,금강,205765.0975,448365.7346
폐업,서울특별시 광진구 구의동 68-27번지 ,서울특별시 광진구 자양로 212  (구의동),,게임천국,207582.4875,449302.3195
폐업,서울특별시 광진구 중곡동 170-25번지 ,서울특별시 광진구 면목로 164  (중곡동),,해피게임랜드,207216.3352,451721.6682
폐업,서울특별시 광진구 자양동 51-29번지 ,서울특별시 광진구 뚝섬로 486  (자양동),,게임천국,205612.4022,448221.5061
허가취소,서울특별시 광진구 군자동 361-27번지 ,서울특별시 광진구 광나루로 379  (군자동),,로얄,206293.6641,449549.3868
폐업,서울특별시 광진구 구의동 33-51번지 ,서울특별시 광진구 자양로50길 28  (구의동),,아차오락실,208231.636,449983.7123
허가취소,서울특별시 광진구 자양동 615-39번지 ,서울특별시 광진구 뚝섬로 613-1  (자양동),,야마토,206832.1519,447824.5376
폐업,서울특별시 광진구 화양동 195-17번지 ,,,태평양,,
폐업,서울특별시 광진구 구의동 246-3번지 ,서울특별시 광진구 아차산로 395  (구의동),,럭키게임천국,207564.4762,448369.5689
폐업,서울특별시 광진구 화양동 9-45번지 ,서울특별시 광진구 아차산로29길 34  (화양동),,게임프라자(지상1층),206019.9175,448895.0741
폐업,서울특별시 광진구 화양동 9-45번지 ,서울특별시 광진구 아차산로29길 34  (화양동),,게임프라자(지하),206019.9175,448895.0741
폐업,서울특별시 광진구 구의동 221-82번지 ,서울특별시 광진구 구의로 19  (구의동),,행운게임장,207823.3805,448599.2836
폐업,서울특별시 광진구 자양동 238-7번지 ,서울특별시 광진구 뚝섬로 465  (자양동),,win(윈),205437.0456,448318.3905
폐업,서울특별시 광진구 구의동 257-43번지 지층 ,"서울특별시 광진구 아차산로51길 52  (구의동,지층)",,대박게임장,207447.5621,448572.8844
폐업,서울특별시 광진구 화양동 111-47번지 ,,,환타지아,206268.8976,449483.767
폐업,서울특별시 광진구 구의동 56-16번지 ,서울특별시 광진구 자양로 284  (구의동),,뿅뿅게임월드,208045.1766,449875.52
폐업,서울특별시 광진구 능동 256-3번지 ,서울특별시 광진구 천호대로 646  (능동),,공원,207756.2178,450076.1327
직권말소,서울특별시 광진구 화양동 111-70번지 1층 ,"서울특별시 광진구 광나루로 374  (화양동,1층)",,리치카니발,206232.8742,449501.0198
폐업,서울특별시 광진구 화양동 5-84번지 1층 ,"서울특별시 광진구 능동로 109  (화양동,1층)",,사이버존1호점,206184.0672,448738.8407
폐업,서울특별시 광진구 중곡동 40-13번지 ,서울특별시 광진구 긴고랑로 59  (중곡동),,팡팡게임랜드,207257.421,451105.1311
폐업,서울특별시 광진구 중곡동 230-39번지 ,서울특별시 광진구 능동로47길 42  (중곡동),,21세기,207033.1338,451280.1909
폐업,서울특별시 광진구 자양동 225-90번지 ,서울특별시 광진구 아차산로39길 16  (자양동),,게임2,206718.9206,448503.7877
폐업,서울특별시 광진구 중곡동 114-30번지 ,서울특별시 광진구 자양로43길 48  (중곡동),,사이버스페이스,207914.7246,450051.92
폐업,서울특별시 광진구 자양동 627-0번지 ,서울특별시 광진구 자양로13길 13  (자양동),,테크노개임랜드,207284.7132,448121.8872
폐업,서울특별시 광진구 화양동 111-106번지 ,서울특별시 광진구 능동로19길 24  (화양동),,베레타,206341.1878,449444.126
폐업,서울특별시 광진구 중곡동 41-43번지 ,서울특별시 광진구 긴고랑로 58  (중곡동),,테크노게임,207220.0785,451082.7246
폐업,서울특별시 광진구 화양동 48-31번지 ,서울특별시 광진구 동일로22길 68  (화양동),,토네이도게임랜드,205925.0083,448796.7767
폐업,서울특별시 광진구 중곡동 124-3번지 ,서울특별시 광진구 용마산로7길 9  (중곡동),,팡팡게임랜드,207624.1454,450745.4187
폐업,서울특별시 광진구 자양동 852-6번지 ,서울특별시 광진구 뚝섬로23길 51  (자양동),,빙고게임랜드,205778.7541,448352.6423
폐업,서울특별시 광진구 화양동 111-5번지 ,서울특별시 광진구 광나루로 380  (화양동),,뉴월드게임장,206279.8211,449481.157
폐업,"서울특별시 광진구 화양동 9-91번지 ,92,93 ","서울특별시 광진구 동일로22길 81  (화양동,,92,93)",,댄싱전자게임장,206000.9861,448808.0905
폐업,서울특별시 광진구 화양동 9-90번지 ,서울특별시 광진구 아차산로29길 12  (화양동),,테크노오락실,205981.4883,448801.0036
폐업,서울특별시 광진구 구의동 203-33번지 ,서울특별시 광진구 광나루로46길 10  (구의동),,벤처게임랜드,208114.6537,449029.2735
폐업,서울특별시 광진구 화양동 111-102번지 ,서울특별시 광진구 광나루로 382  (화양동),,올림픽오락실,206299.1135,449469.9272
폐업,서울특별시 광진구 자양동 634-36번지 ,서울특별시 광진구 자양로13길 91  (자양동),,씨티게임랜드,207027.7661,447836.5843
폐업,서울특별시 광진구 중곡동 169-30번지 ,서울특별시 광진구 면목로 170  (중곡동),,파워밀레니엄게임장,207240.2015,451773.6153
폐업,서울특별시 광진구 구의동 229-8번지 ,서울특별시 광진구 광나루로 542  (구의동),,댄스포유,207860.9667,449155.8874
폐업,서울특별시 광진구 화양동 116-2번지 ,서울특별시 광진구 광나루로 370  (화양동),,백산종합게임랜드,206196.4901,449486.2013
폐업,서울특별시 광진구 군자동 66-9번지 ,서울특별시 광진구 군자로 142  (군자동),,팡팡오락실,206579.7692,450223.8948
폐업,서울특별시 광진구 구의동 631-1번지 현대프라임아파트프라임프라자 1층동 114호,,,밀레니엄게임장,208558.2866,448353.9052
폐업,서울특별시 광진구 구의동 246-13번지 지하 ,"서울특별시 광진구 아차산로 377  (구의동,지하)",,마카오오락실,207418.4817,448333.1576
폐업,서울특별시 광진구 중곡동 47-23번지 ,서울특별시 광진구 능동로 352  (중곡동),,게임존,207151.026,450937.0916
폐업,서울특별시 광진구 자양동 46-11번지 ,서울특별시 광진구 뚝섬로30길 8  (자양동),,게임프라자,205760.7279,448147.8566
폐업,서울특별시 광진구 화양동 20-20번지 ,서울특별시 광진구 광나루로12길 17  (화양동),,2002 게임랜드,205912.7214,449407.2411
폐업,서울특별시 광진구 구의동 65-10번지 ,서울특별시 광진구 광나루로37길 21  (구의동),,아마존게임랜드,207709.5766,449302.6242
폐업,서울특별시 광진구 화양동 7-4번지 ,서울특별시 광진구 아차산로 221  (화양동),,테크노피아,205961.5382,448756.3095
폐업,서울특별시 광진구 화양동 7-4번지 ,서울특별시 광진구 아차산로 221  (화양동),,테크노피아,205961.5382,448756.3095
폐업,서울특별시 광진구 자양동 199-0번지 ,서울특별시 광진구 동일로4길 15  (자양동),,뉴스타오락실,205404.6424,448234.4026
폐업,서울특별시 광진구 자양동 606-15번지 ,서울특별시 광진구 뚝섬로 622  (자양동),,DANCE 4-U,206885.4697,447768.1781
폐업,서울특별시 광진구 화양동 47-71번지 ,서울특별시 광진구 아차산로29길 17  (화양동),,로얄게임장,205969.5811,448834.3593
폐업,서울특별시 광진구 구의동 246-13번지 ,서울특별시 광진구 아차산로 377  (구의동),,제스트 존,207418.4817,448333.1576
폐업,서울특별시 광진구 중곡동 245-31번지 ,서울특별시 광진구 면목로 95  (중곡동),,777 게임뱅크,206919.0683,451115.8928
폐업,서울특별시 광진구 구의동 219-28번지 ,서울특별시 광진구 아차산로 455  (구의동),,대박게임장,208126.0548,448589.3739
허가취소,서울특별시 광진구 중곡동 93-33번지 ,서울특별시 광진구 용마산로 12  (중곡동),,로얄경품게임장,207768.7816,450278.751
폐업,서울특별시 광진구 구의동 257-122번지 ,서울특별시 광진구 자양로18길 53  (구의동),,DDR전문점,207564.5887,448441.7819
