상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y),제공게임물명
직권말소,서울특별시 광진구 중곡동 35-65번지 ,서울특별시 광진구 긴고랑로29길 75 (중곡동),,게임타운,207538.7397,451228.3187,
폐업,서울특별시 광진구 중곡동 150-107번지 ,서울특별시 광진구 용마산로 95  (중곡동),,게임시티,207614.9594,451099.0033,
직권말소,서울특별시 광진구 구의동 54-5번지 ,서울특별시 광진구 자양로 275 (구의동),,게임마트,207975.5581,449815.8503,
직권말소,서울특별시 광진구 자양동 553-531번지 ,서울특별시 광진구 뚝섬로 548 (자양동),,게임마트,206190.2562,448027.8669,
직권말소,서울특별시 광진구 군자동 363-14,서울특별시 광진구 군자로 76 (군자동),,한국신용유통(주)화양가전마트 (현장조사 2014-04-21 무단폐업),206214.1035,449739.23,
직권말소,서울특별시 광진구 광장동 127 리버힐 707호,"서울특별시 광진구 아차산로78길 110, 707호 (광장동,리버힐)",,하얀하늘 (현장조사 2014-04-30 무단폐업),209668.9012,449767.9647,
직권말소,서울특별시 광진구 중곡동 82-22 2층,"서울특별시 광진구 영화사로 20 (중곡동,2층)",,씨네클럽(중곡점) (현장조사 2014-05-08 무단폐업),207836.8928,450576.085,
직권말소,서울특별시 광진구 자양동 58-3번지 ,서울특별시 광진구 능동로3라길 13 (자양동),,씨네클럽(노유점),205661.656,448040.3095,
직권말소,서울특별시 광진구 구의동 610번지 현대6단지상가 103호,,,세광비디오,208296.8338,448475.8188,
직권말소,서울특별시 광진구 자양동 553-358번지 ,서울특별시 광진구 능동로7길 30 (자양동),,이벤트 비디오,205895.0402,448346.8965,
직권말소,서울특별시 광진구 중곡동 157,,,(주)원강 유통군자 (현장조사 2014-05-02 무단폐업),,,
직권말소,서울특별시 광진구 자양동 654-16,서울특별시 광진구 뚝섬로55길 19 (자양동),,푸른영상 (현장조사 2014-04-16 무단폐업),207200.3386,447792.1975,
영업중,서울특별시 광진구 자양동 44-2번지 ,,,노룬산수퍼,205663.0811,448250.3634,
폐업,서울특별시 광진구 중곡동 79-11번지 ,서울특별시 광진구 영화사로 14  (중곡동),,장안유통,207776.043,450621.4255,
직권말소,서울특별시 광진구 중곡동 89-8번지 ,서울특별시 광진구 영화사로 34 (중곡동),,비손마트,207927.3993,450483.4682,
직권말소,서울특별시 광진구 중곡동 116-9번지 ,서울특별시 광진구 천호대로 625 (중곡동),,윤선생영어교실,207643.3866,450253.1578,
직권말소,서울특별시 광진구 자양동 627-2번지 ,서울특별시 광진구 자양로 87 (자양동),,윤선생영어,207320.1734,448158.3168,
직권말소,서울특별시 광진구 중곡동 173-23,서울특별시 광진구 면목로 151 (중곡동),,영화마을중곡3동점 (현장조사 2014-05-07 무단폐업),207139.3164,451617.9578,
직권말소,서울특별시 광진구 중곡동 341-8번지 ,서울특별시 광진구 천호대로 569 (중곡동),,러브러브,207132.2413,450502.9161,
직권말소,서울특별시 광진구 자양동 76-2번지 한강현대(아)상가 106호,,,한강비디오,,,
폐업,서울특별시 광진구 중곡동 648-18번지 ,서울특별시 광진구 능동로39길 3  (중곡동),,이큐미디어,206980.9708,450680.6717,
직권말소,서울특별시 광진구 군자동 91-23번지 ,서울특별시 광진구 천호대로102길 58 (군자동),,군자비디오,206375.0268,450492.0023,
직권말소,서울특별시 광진구 중곡동 97-5번지 ,서울특별시 광진구 자양로53길 47 (중곡동),,영동상사,208026.1932,450324.3832,
직권말소,서울특별시 광진구 광장동 258-3번지 ,서울특별시 광진구 광장로 54 (광장동),,게임뱅크,209050.4516,449418.1737,
직권말소,서울특별시 광진구 중곡동 161-24번지 ,서울특별시 광진구 능동로 332 (중곡동),,황소의눈(광진점),207072.8003,450764.9397,
직권말소,서울특별시 광진구 화양동 12-1,서울특별시 광진구 군자로3길 1 (화양동),,그린학습비디오 (현장조사 2014-04-14 무단폐업),206218.6115,449176.7408,
영업중,서울특별시 광진구 구의동 66-28번지 ,,,(주)구의유통,,,
폐업,서울특별시 광진구 자양동 616번지 ,서울특별시 광진구 자양로13다길 21  (자양동),,DOCU 0.7,206889.2705,447846.736,
직권말소,서울특별시 광진구 화양동 132-75번지 ,서울특별시 광진구 군자로 46 (화양동),,캐릭터CD프라자,206164.1741,449443.6163,
폐업,서울특별시 광진구 중곡동 341-5번지 ,서울특별시 광진구 천호대로111길 9  (중곡동),,열린소프트게임,207174.4089,450519.5181,
폐업,서울특별시 광진구 구의동 248-11번지 ,서울특별시 광진구 자양로26길 32  (구의동),,사임당문고,207500.3464,448794.6555,
직권말소,서울특별시 광진구 중곡동 107-29번지 ,서울특별시 광진구 영화사로7길 18 (중곡동),,몽비디오,208063.2935,450479.3907,
폐업,서울특별시 광진구 능동 251-24번지 ,서울특별시 광진구 능동로32길 140  (능동),,능동비디오,207506.3333,450033.8056,
폐업,서울특별시 광진구 자양동 205-10번지 ,,,초원비디오,,,
직권말소,서울특별시 광진구 구의동 210-52,서울특별시 광진구 아차산로61길 13 (구의동),,둘리비디오 (현장조사 2014-04-17 무단폐업),208005.0596,448574.3562,
직권말소,서울특별시 광진구 구의동 631-1번지 현대프라임아파트중앙상가 102호,,,프라임비디오,208558.2866,448353.9052,
직권말소,서울특별시 광진구 자양동 621-24번지 ,서울특별시 광진구 자양로15길 51-1 (자양동),,영화마을,207065.3176,448097.2984,
직권말소,서울특별시 광진구 자양동 229-6,서울특별시 광진구 아차산로42길 44 (자양동),,알파비디오 (현장조사 2014-04-16 무단폐업),206882.9998,448149.359,
직권말소,서울특별시 광진구 자양동 580-2번지 ,서울특별시 광진구 자양번영로 47-13 (자양동),,우성비디오,206585.3091,447961.7172,
폐업,서울특별시 광진구 자양동 6-39번지 ,서울특별시 광진구 동일로20길 78  (자양동),,엘지25 노유점,205915.5774,448655.5147,
폐업,서울특별시 광진구 구의동 199-22번지 ,서울특별시 광진구 광나루로54길 38  (구의동),,현대비디오,208334.6036,448558.9359,
직권말소,서울특별시 광진구 능동 156-2번지 ,서울특별시 광진구 능동로24길 76 (능동),,영화만들기,207058.7964,450104.3888,
직권말소,서울특별시 광진구 능동 225-1번지 ,서울특별시 광진구 능동로32길 6 (능동),,으뜸과버금,206903.4809,450328.7113,
직권말소,서울특별시 광진구 자양동 652-55번지 ,서울특별시 광진구 뚝섬로54길 9 (자양동),,영비디오,207078.8328,447653.8378,
폐업,서울특별시 광진구 중곡동 220-78번지 ,서울특별시 광진구 능동로49길 16  (중곡동),,게임나라,207217.846,451375.3975,
직권말소,서울특별시 광진구 군자동 66-8번지 ,서울특별시 광진구 군자로 144 (군자동),,영화마을,206595.5486,450228.8023,
직권말소,서울특별시 광진구 구의동 564-4 테크노마트 B2호,,,(유)미라클상사 (현장조사 2014-05-09 무단폐업),,,
직권말소,서울특별시 광진구 구의동 564-4번지 테크노마트7층 D동 022호,,,하나소프트,,,
직권말소,서울특별시 광진구 구의동 546-4번지 테크노판매 7층동 C111호,"서울특별시 광진구 광나루로56길 85, 7층동 C111호 (구의동,테크노판매)",,게임랜드,208394.4164,448165.28,
직권말소,서울특별시 광진구 구의동 546-4번지 테크노마트 7층동 C004호,"서울특별시 광진구 광나루로56길 85, 7층동 C004호 (구의동,테크노마트)",,CD매니아,208394.4164,448165.28,
직권말소,서울특별시 광진구 구의동 546-4번지 테크노마트 8층D 008 ,"서울특별시 광진구 광나루로56길 85 (구의동,테크노마트 8층D 008)",,엘앤앤소프트,208394.4164,448165.28,
직권말소,서울특별시 광진구 구의동 546-4번지 테크노마트7층B018 ,"서울특별시 광진구 광나루로56길 85 (구의동,테크노마트7층B018)",,거성,208394.4164,448165.28,
직권말소,서울특별시 광진구 구의동 546-4번지 테크노마트 7층 A-014 ,"서울특별시 광진구 광나루로56길 85 (구의동,테크노마트 7층 A-014)",,게임누리,208394.4164,448165.28,
