상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
폐업,서울특별시 광진구 중곡동 231-39번지 ,서울특별시 광진구 면목로 123 (중곡동),4911,코리아나타운,단란주점,207030.4556,451370.8195
폐업,서울특별시 광진구 화양동 18-26번지 ,,,샬루트,단란주점,206134.7436,449480.5892
폐업,서울특별시 광진구 화양동 19-48번지 ,,,라스트단란주점,단란주점,206044.0747,449469.872
폐업,서울특별시 광진구 자양동 236-9번지 ,,,오렌지영상민속주점,단란주점,205375.6219,448331.5293
폐업,서울특별시 광진구 자양동 228-133번지 ,,,봉쥴,단란주점,,
영업,서울특별시 광진구 광장동 325-4 ,서울특별시 광진구 아차산로76가길 4 (광장동),4969,중일단란주점,단란주점,209430.3684,449472.3936
폐업,서울특별시 광진구 구의동 218-15번지 ,,,싸이판,단란주점,208058.8787,448482.3241
폐업,서울특별시 광진구 중곡동 131-9 ,서울특별시 광진구 천호대로 603 (중곡동),4930,뉴카지노단란주점,단란주점,207430.2521,450357.2972
영업,서울특별시 광진구 자양동 203-5 ,서울특별시 광진구 동일로 36 (자양동),5081,에이스단란주점,단란주점,205321.2847,448212.7421
영업,서울특별시 광진구 중곡동 162-10 ,서울특별시 광진구 능동로 347-1 (중곡동),4915,진라이브,단란주점,207096.3042,450926.6026
폐업,서울특별시 광진구 화양동 41-8번지 ,,,씨월드단란주점,단란주점,205769.8191,449232.7207
폐업,서울특별시 광진구 화양동 46-48번지 ,,,라그메니아단란주점,단란주점,205881.3502,448841.1917
폐업,서울특별시 광진구 구의동 212-2번지 ,,,샹제리제단란주점,단란주점,208261.7488,448701.6585
폐업,서울특별시 광진구 자양동 617-25번지 ,,,벤허,단란주점,207016.0906,447865.3729
영업,서울특별시 광진구 구의동 200-2,서울특별시 광진구 광나루로 608 (구의동),5034,제일,단란주점,208353.0818,448772.0878
폐업,서울특별시 광진구 화양동 226-0번지 ,,,나사단란주점,단란주점,206417.9877,449430.0608
영업,서울특별시 광진구 구의동 252-116 ,서울특별시 광진구 자양로18길 17 (구의동),5043,벤츠노래주점,단란주점,207398.6172,448394.7818
폐업,서울특별시 광진구 구의동 246-19번지 ,,,로타리단란주점,단란주점,207349.4133,448291.2473
폐업,서울특별시 광진구 자양동 615-14번지 ,,,발리단란주점,단란주점,206789.4207,447840.3621
폐업,서울특별시 광진구 화양동 119-5번지 ,,,요요기단란주점,단란주점,206173.2554,449477.8207
폐업,서울특별시 광진구 자양동 6-31번지 ,,,둘리단란주점,단란주점,205940.1684,448647.3796
폐업,서울특별시 광진구 구의동 252-43번지 ,,,아리랑단란주점,단란주점,207340.2924,448374.7206
폐업,서울특별시 광진구 중곡동 117-2번지 ,,,카멜레온단란주점,단란주점,207697.5287,450419.243
폐업,서울특별시 광진구 능동 222-3번지 ,,,로마단란주점,단란주점,207107.3622,450416.3913
폐업,서울특별시 광진구 자양동 7-7번지 ,,,월드컵단란주점,단란주점,206062.3416,448644.931
폐업,서울특별시 광진구 구의동 248-88번지 ,,,프린스단란주점,단란주점,207478.7115,448735.8909
영업,서울특별시 광진구 자양동 249-5,서울특별시 광진구 동일로12길 2 (자양동),5079,엠비씨노래방단란주점,단란주점,205458.0294,448534.9281
폐업,서울특별시 광진구 구의동 246-61번지 ,,,유명,단란주점,207462.6329,448350.5738
폐업,서울특별시 광진구 화양동 206-0번지 2F ,,,파티,단란주점,206376.2506,449455.0461
폐업,서울특별시 광진구 자양동 2-47번지 ,,,남행열차단란주점,단란주점,206058.9001,448430.2534
폐업,서울특별시 광진구 구의동 246-10번지 ,,,뉴비지니스단란주점,단란주점,207438.6744,448349.3086
폐업,서울특별시 광진구 군자동 477-15번지 ,,,황제,단란주점,,
폐업,서울특별시 광진구 구의동 223-65번지 ,,,그린투단란주점,단란주점,207866.8047,448680.6447
영업,서울특별시 광진구 구의동 244-19,서울특별시 광진구 아차산로 421 (구의동),5045,체리,단란주점,207840.4272,448448.4874
폐업,서울특별시 광진구 구의동 599-0번지 ,,,모노단란주점,단란주점,208047.38,447937.9176
폐업,서울특별시 광진구 화양동 8-100번지 ,서울특별시 광진구 동일로22길 95 (화양동),5017,행쇼,단란주점,206068.0154,448761.6323
