자치구,행정동,유해업소수,대형쇼핑몰수,도서관수,미술관 박물관 극장수,"의료시설수(병원,의원,보건소,보건지소)",공원 수,경로당 수,보육시설정원,보육시설현원,보육시설포화도,횡단보도수,육교수,CCTV수,월평균소득금액,평균면적(m^2),면적당 가격(만원/m^2),"주유소,가스충전소 수",0~9세,2030_상주인구수,23년 출생인구,2030대비 출생아수(%),공립,사립,공립+사립,평균학급수,평균유아수,평균 학급당 유아수
광진구,구의3동,5,5,1,0,1,6,8,478,373,0.78,79,7,277,4041811,89,1265,0,1574,9293,120,1.29,0,2,2,5.0,90.0,16.1
송파구,잠실본동,41,5,1,0,1,6,6,451,400,0.89,37,0,167,3107117,68,1490,4,951,10835,95,0.88,0,0,0,0.0,0.0,0.0
광진구,광장동,9,2,1,0,0,2,20,491,373,0.76,89,19,294,5314464,106,1526,2,2415,8160,112,1.37,1,4,5,4.2,88.6,20.3
광진구,자양1동,25,1,0,0,2,3,5,488,333,0.68,28,0,242,2756172,66,1225,2,723,7832,73,0.93,1,2,3,3.3,48.7,14.7
광진구,자양2동,1,1,1,0,1,3,10,401,325,0.81,31,4,272,3018829,88,1317,1,1209,7805,94,1.2,2,2,4,4.0,70.7,15.8
송파구,잠실4동,12,2,0,0,0,3,5,500,432,0.86,35,3,50,5970352,79,2546,0,2254,5716,90,1.57,0,1,1,10.0,244.0,24.4
광진구,자양4동,10,3,1,0,3,3,8,350,252,0.72,24,2,282,2800761,74,1455,0,786,5498,86,1.56,0,2,2,3.0,38.0,12.7
송파구,잠실6동,52,8,1,2,3,2,3,527,438,0.83,49,3,55,5270661,128,1592,1,1237,4476,82,1.83,0,1,1,3.0,60.0,20.0
동대문구,회기동,18,1,0,1,2,0,1,184,122,0.66,24,0,138,3243016,53,1032,0,311,4381,33,0.75,0,2,2,4.5,91.5,17.8
동대문구,휘경2동,1,0,1,0,2,3,10,533,369,0.69,40,8,222,3091111,76,932,1,935,8114,75,0.92,2,1,3,5.0,92.3,17.4
동대문구,청량리동,20,2,1,0,1,1,14,297,194,0.65,48,9,146,2868180,95,1029,3,618,4757,43,0.9,0,2,2,5.0,124.0,24.8
동대문구,용신동,41,2,1,0,9,6,8,695,560,0.81,126,35,290,2913220,55,1116,3,1985,10114,143,1.41,0,1,1,7.0,133.0,19.0
동대문구,제기동,44,4,0,1,2,2,6,515,321,0.62,87,18,295,2815717,70,879,4,796,7339,72,0.98,1,2,3,3.0,26.0,8.6
동대문구,전농1동,7,5,0,0,1,3,6,687,486,0.71,103,3,217,3073126,70,1396,3,1976,8648,132,1.53,0,3,3,5.5,120.0,19.4
동대문구,전농2동,1,1,1,1,1,2,9,490,324,0.66,9,9,176,3158030,78,1101,0,983,4805,63,1.31,2,2,4,5.0,100.0,17.4
동대문구,답십리2동,4,0,0,0,4,3,21,743,645,0.87,45,4,201,3052058,68,1080,4,1581,7843,166,2.12,0,4,4,5.0,77.2,14.8
송파구,잠실7동,23,1,0,0,0,1,2,0,0,0.0,7,0,41,6053210,119,2345,2,534,2447,36,1.47,1,1,2,3.0,28.0,9.3
동대문구,장안1동,67,2,0,0,15,7,13,1115,941,0.84,87,13,289,2880343,63,784,5,2114,11064,171,1.55,1,2,3,5.5,86.5,16.0
동대문구,장안2동,6,2,0,0,6,6,10,774,653,0.84,91,5,227,2949910,70,803,1,2486,8316,165,1.98,1,2,3,4.5,86.0,18.5
중랑구,면목2동,14,0,0,0,2,2,5,581,423,0.73,47,9,235,2337668,68,723,3,945,6826,75,1.1,2,2,4,4.0,56.3,12.1
중랑구,면목4동,2,0,0,0,0,1,8,405,288,0.71,28,10,210,2586102,74,1018,1,848,5348,77,1.44,1,1,2,3.5,44.5,12.8
송파구,잠실2동,0,2,1,0,0,2,2,422,395,0.94,45,0,27,6380748,73,2766,0,3289,7813,131,1.68,2,1,3,4.0,72.5,17.0
중랑구,면목5동,6,1,0,0,0,2,3,290,246,0.85,26,17,155,2246887,73,1090,3,1313,3497,114,3.26,0,0,0,0.0,0.0,0.0
중랑구,면목7동,14,3,0,0,1,1,12,531,467,0.88,40,0,218,2669465,79,931,1,1027,6242,116,1.86,0,1,1,6.0,120.0,20.0
중랑구,상봉2동,69,3,1,0,2,3,2,336,251,0.75,64,6,196,2590471,47,947,3,728,7162,142,1.98,0,1,1,6.0,135.0,22.5
중랑구,중화2동,17,3,0,0,0,4,5,397,312,0.79,82,26,253,2265660,64,743,3,854,7443,77,1.03,0,2,2,4.0,85.0,21.0
중랑구,묵1동,0,1,1,0,2,7,13,799,539,0.67,68,12,250,3140383,76,853,0,1739,9912,134,1.35,0,2,2,4.5,79.5,16.5
중랑구,묵2동,32,0,0,0,0,1,5,462,309,0.67,70,15,177,2547489,63,852,1,782,5746,73,1.27,2,0,2,3.0,33.0,11.0
노원구,공릉2동,0,1,1,2,2,9,23,1326,1053,0.79,97,0,271,3414711,75,913,6,2891,11860,223,1.88,2,8,10,4.1,68.0,14.6
중랑구,망우3동,3,0,0,0,0,1,3,384,268,0.7,19,2,210,2241100,58,678,1,559,4625,43,0.93,1,0,1,0.0,0.0,0.0
중랑구,신내2동,0,4,0,0,1,4,9,555,426,0.77,34,1,79,3092303,68,962,0,980,5760,104,1.81,2,3,5,5.6,104.0,16.7
중랑구,면목본동,12,0,1,0,2,6,7,765,591,0.77,56,0,374,2348141,51,794,1,1225,10512,144,1.37,2,1,3,4.7,68.3,13.9
중랑구,면목3·8동,5,1,0,0,1,3,8,753,615,0.82,42,0,302,2367907,71,844,0,909,7304,83,1.14,0,1,1,3.0,30.0,10.0
중랑구,망우본동,15,1,2,0,8,3,10,1012,870,0.86,80,0,301,2458975,64,749,1,2547,8365,214,2.56,2,3,5,4.0,66.6,17.4
성북구,돈암1동,2,1,0,0,0,2,8,241,205,0.85,27,4,94,3601326,75,955,1,666,4119,75,1.82,0,2,2,7.0,126.0,18.4
성북구,돈암2동,0,2,3,0,0,0,9,475,410,0.86,7,1,44,4324031,85,957,1,1632,5794,99,1.71,0,6,6,5.2,118.4,21.7
성북구,안암동,9,0,0,1,2,1,6,363,213,0.59,37,14,181,2917634,65,659,5,371,5136,25,0.49,0,1,1,3.0,68.0,22.7
성북구,보문동,12,0,0,0,2,3,6,395,310,0.78,33,14,148,3155930,78,1067,2,963,5049,83,1.64,1,3,4,3.5,55.8,15.7
성북구,길음2동,40,3,1,0,4,0,6,473,401,0.85,42,0,125,3728596,80,1115,2,2031,3804,139,3.65,1,1,2,3.0,53.0,17.7
노원구,공릉1동,13,1,1,0,4,7,19,732,498,0.68,65,1,299,2800723,65,810,4,1487,12099,110,0.91,2,4,6,4.3,65.7,13.6
성북구,월곡1동,4,1,0,0,0,5,11,616,509,0.83,33,0,171,3312141,70,985,1,1608,6749,120,1.78,1,0,1,4.0,60.0,15.0
성북구,장위1동,6,0,1,0,0,1,5,335,289,0.86,24,0,424,2245938,79,989,1,1477,5440,86,1.58,1,2,3,4.3,80.3,18.3
성북구,장위2동,9,0,0,0,1,0,2,329,250,0.76,47,0,218,2398143,81,816,3,483,3569,53,1.49,1,2,3,3.0,51.5,17.2
은평구,불광1동,0,6,1,1,2,4,13,760,584,0.77,34,0,276,3219816,72,960,0,1835,10417,147,1.41,1,3,4,4.0,35.0,9.8
성북구,종암동,15,2,1,0,3,4,19,817,632,0.77,43,11,284,3406932,74,1010,5,2097,10956,135,1.23,1,5,6,4.7,95.2,19.3
성북구,석관동,16,0,1,0,1,4,8,497,410,0.82,50,0,375,2858120,73,1035,3,1658,9405,143,1.52,1,2,3,4.0,64.5,16.1
강북구,번1동,2,3,0,0,3,3,6,363,254,0.7,57,0,121,2318825,71,777,2,487,5919,42,0.71,1,1,2,3.0,32.0,10.7
강북구,번2동,1,0,1,0,1,3,10,336,246,0.73,26,0,104,2317709,75,736,1,488,4138,42,1.01,0,1,1,3.0,46.0,15.3
강북구,번3동,0,0,0,0,1,2,14,308,235,0.76,30,0,45,2568944,77,776,3,667,3940,61,1.55,1,0,1,3.0,36.0,12.0
강북구,수유2동,10,3,0,0,0,2,5,616,437,0.71,34,0,92,2594901,66,691,0,833,5501,62,1.13,0,3,3,4.7,84.0,17.7
강북구,수유3동,150,2,0,0,2,5,4,380,233,0.61,51,0,1325,2221860,56,740,1,594,7411,58,0.78,0,1,1,0.0,0.0,0.0
강북구,송중동,1,4,1,0,1,4,7,640,553,0.86,56,11,180,2571061,80,949,2,1268,8046,102,1.27,1,3,4,4.5,70.8,13.9
도봉구,쌍문1동,0,0,1,2,4,1,13,456,282,0.62,51,0,180,2458780,74,641,1,899,5634,67,1.19,2,3,5,4.3,76.7,16.7
도봉구,쌍문2동,6,1,0,0,3,1,7,480,359,0.75,28,0,78,2445353,86,564,3,789,5343,68,1.27,0,1,1,7.0,205.0,29.3
도봉구,쌍문3동,12,0,0,0,1,2,7,455,358,0.79,25,0,88,2458777,66,664,3,666,4867,52,1.07,0,0,0,0.0,0.0,0.0
도봉구,쌍문4동,0,1,0,0,0,1,11,244,193,0.79,22,2,55,2983010,78,716,0,935,5075,44,0.87,0,5,5,4.8,82.4,16.8
도봉구,방학1동,14,3,0,0,3,4,11,481,391,0.81,80,0,149,2913239,73,729,3,1195,7587,70,0.92,1,2,3,5.0,82.3,16.4
도봉구,방학2동,10,0,0,0,1,5,4,651,440,0.68,30,0,116,2111754,61,445,2,660,5212,44,0.84,0,0,0,0.0,0.0,0.0
도봉구,방학3동,0,1,1,0,2,0,18,524,382,0.73,42,0,59,2981111,74,654,2,1480,7013,77,1.1,1,3,4,4.0,79.2,18.8
도봉구,창1동,1,2,1,0,0,7,6,440,305,0.69,29,0,139,3062656,72,836,1,1137,6904,95,1.38,0,2,2,4.5,63.5,14.4
도봉구,창2동,6,2,0,0,2,4,7,869,554,0.64,20,0,110,2569991,76,637,2,1370,8425,114,1.35,0,1,1,4.0,82.0,20.5
도봉구,창3동,0,0,0,0,0,2,5,402,274,0.68,20,0,130,2246742,66,674,0,505,3682,25,0.68,1,1,2,3.0,19.0,6.3
도봉구,창4동,6,0,1,0,0,5,10,665,472,0.71,26,0,74,3579683,64,1036,0,1393,7399,114,1.54,2,2,4,4.8,77.2,15.8
도봉구,창5동,30,2,0,0,3,2,12,459,383,0.83,28,0,89,3320477,67,959,1,1182,7259,90,1.24,2,2,4,7.5,159.5,20.8
서대문구,남가좌2동,2,0,1,0,0,4,6,734,593,0.81,24,0,258,3234073,73,1286,3,2307,7536,157,2.08,0,3,3,5.3,118.7,22.1
서대문구,북가좌1동,0,1,0,0,3,2,17,417,370,0.89,57,2,114,4030695,78,1061,2,1146,4618,81,1.75,0,1,1,0.0,0.0,0.0
도봉구,도봉1동,13,0,0,0,2,5,10,385,332,0.86,30,0,199,2291226,74,548,5,616,5189,47,0.91,2,1,3,3.0,13.0,4.3
도봉구,도봉2동,1,3,1,0,0,2,15,745,497,0.67,65,6,128,2837674,80,720,1,1415,6827,115,1.68,0,2,2,5.5,122.5,20.3
노원구,월계1동,7,2,1,0,1,6,19,519,429,0.83,37,0,221,2799550,77,928,1,889,6750,81,1.2,0,2,2,3.5,49.5,14.2
노원구,월계3동,0,2,1,0,1,4,12,617,476,0.77,24,0,71,3139270,63,1108,0,1722,8240,160,1.94,1,4,5,5.0,81.0,16.0
노원구,하계1동,0,3,1,1,2,9,11,546,326,0.6,61,0,105,3646787,78,1025,0,867,7813,61,0.78,1,4,5,6.3,125.0,17.4
노원구,중계본동,0,3,1,0,0,3,16,238,164,0.69,29,0,118,4230534,82,942,0,1129,5861,40,0.68,1,2,3,7.0,145.0,19.3
노원구,중계4동,0,3,1,0,1,5,12,168,125,0.74,28,0,102,3213848,74,876,0,876,4908,39,0.79,0,3,3,4.7,71.0,14.9
노원구,상계1동,1,2,1,0,1,6,27,829,621,0.75,23,0,206,3051681,79,770,5,1788,10728,116,1.08,3,2,5,4.6,65.4,14.0
노원구,상계2동,17,6,0,0,4,0,13,712,485,0.68,36,0,168,3141488,73,878,2,686,5892,42,0.71,1,2,3,5.0,77.5,15.8
노원구,상계5동,7,2,0,0,1,1,10,442,300,0.68,36,0,227,2493124,67,816,1,840,6341,72,1.14,1,0,1,0.0,0.0,0.0
노원구,중계2·3동,0,6,2,1,1,6,12,460,376,0.82,75,0,99,2955453,65,1106,1,1520,9076,150,1.65,1,4,5,6.0,105.0,16.1
노원구,상계10동,26,0,1,0,0,4,5,315,271,0.86,43,0,50,3153839,75,1201,0,1193,5127,126,2.46,1,2,3,5.0,100.3,19.7
노원구,상계6·7동,23,17,1,0,6,10,9,596,477,0.8,42,0,159,3173400,59,1232,0,1883,9673,203,2.1,1,4,5,3.4,59.4,17.2
은평구,녹번동,16,0,0,0,5,6,12,1248,969,0.78,52,0,295,3040384,71,969,1,2114,10175,205,2.01,2,2,4,5.3,114.3,20.6
은평구,갈현1동,33,2,0,0,2,3,6,562,214,0.38,26,2,208,2495345,60,776,3,474,6938,38,0.55,0,1,1,3.0,36.0,12.0
은평구,갈현2동,52,0,0,0,2,3,6,696,462,0.66,28,0,264,2559993,76,597,0,1108,8401,83,0.99,0,4,4,5.0,98.0,18.7
은평구,구산동,2,1,1,0,3,2,5,690,435,0.63,26,0,275,2625218,79,613,0,1334,8609,74,0.86,1,3,4,4.5,80.5,15.9
은평구,대조동,73,6,0,0,2,1,4,604,437,0.72,41,0,257,2555764,33,932,0,918,9087,94,1.03,0,0,0,0.0,0.0,0.0
은평구,응암1동,11,4,0,0,2,3,7,1098,932,0.85,48,0,210,2744076,69,845,1,2230,7899,169,2.14,1,2,3,0.0,0.0,0.0
은평구,응암2동,0,0,0,0,1,4,4,924,842,0.91,16,0,141,3523843,66,999,0,2727,5773,157,2.72,1,2,3,6.5,163.5,23.8
은평구,신사1동,8,1,0,0,1,2,9,745,413,0.55,33,0,185,2653534,71,722,1,1197,7965,104,1.31,0,3,3,5.5,113.5,20.1
강남구,대치4동,14,3,1,1,3,2,6,686,395,0.58,27,0,345,4133268,63,1322,2,590,6937,53,0.76,1,0,1,4.0,57.0,14.2
은평구,신사2동,5,0,1,0,0,3,8,399,337,0.84,23,0,286,2654016,70,730,1,836,5792,68,1.17,1,1,2,0.0,0.0,0.0
은평구,증산동,6,1,1,0,0,2,9,445,364,0.82,20,0,184,2865029,74,925,1,1076,4146,83,2.0,0,1,1,5.0,91.0,18.2
은평구,역촌동,15,1,0,0,2,4,3,1087,818,0.75,64,0,355,2538605,78,630,2,1824,13402,145,1.08,1,2,3,7.0,136.5,19.5
서대문구,홍제1동,13,3,0,0,0,2,24,609,418,0.69,17,1,247,3453866,72,963,3,1451,6340,120,1.89,0,3,3,3.7,74.3,20.3
서대문구,홍제3동,0,1,1,0,2,3,2,508,403,0.79,20,0,191,2839603,78,904,0,1001,4128,100,2.42,1,1,2,3.0,60.0,20.0
서대문구,홍제2동,0,0,0,0,0,0,2,289,202,0.7,10,1,72,3694079,72,979,0,651,3801,66,1.74,0,2,2,5.0,124.0,24.8
서대문구,홍은1동,4,1,1,0,1,2,17,248,225,0.91,25,2,268,3096481,74,883,1,1249,5631,107,1.9,1,1,2,6.0,116.0,19.3
서대문구,연희동,5,1,1,1,5,9,11,630,453,0.72,58,17,505,3407515,75,778,3,1305,12929,114,0.88,0,1,1,6.0,90.0,15.0
마포구,용강동,31,1,0,0,1,4,10,488,369,0.76,73,3,133,4801843,78,1649,1,1867,5529,110,1.99,0,2,2,3.5,93.0,26.0
마포구,대흥동,3,1,0,0,1,1,6,257,183,0.71,64,0,160,3438438,51,1418,2,569,4730,53,1.12,2,0,2,3.0,37.0,12.3
마포구,신수동,6,0,0,0,1,3,15,484,404,0.83,72,0,139,4157619,83,1531,2,1458,6299,106,1.68,0,1,1,3.0,47.0,15.7
마포구,서교동,70,12,1,2,5,6,5,355,260,0.73,136,6,293,3245678,79,1037,1,661,9775,63,0.64,0,2,2,4.0,90.0,22.5
양천구,신월1동,62,0,0,0,1,5,11,704,418,0.59,29,4,281,2242859,68,558,2,694,5523,57,1.03,0,1,1,4.0,76.0,19.0
마포구,합정동,16,0,0,1,1,2,4,372,254,0.68,67,0,166,3217611,87,1232,2,648,7280,62,0.85,1,0,1,4.0,49.0,12.2
마포구,망원1동,4,1,0,0,0,3,5,446,320,0.72,45,0,113,2803732,83,1035,0,779,6772,66,0.97,0,0,0,0.0,0.0,0.0
마포구,성산2동,9,3,1,0,2,9,18,944,709,0.75,58,2,177,3554997,75,1125,4,1809,12086,185,1.53,1,3,4,4.5,84.2,18.5
마포구,도화동,1,4,0,0,1,2,12,463,371,0.8,34,9,132,4230010,75,1356,0,1295,6270,123,1.96,1,2,3,5.0,110.5,21.4
마포구,서강동,24,1,1,1,2,6,11,716,553,0.77,89,11,152,4362487,92,1362,1,1594,8145,88,1.08,0,0,0,0.0,0.0,0.0
마포구,아현동,15,1,0,0,1,1,18,905,703,0.78,44,0,121,5251272,83,1667,2,2932,7821,255,3.26,0,0,0,0.0,0.0,0.0
양천구,목1동,6,10,0,0,3,2,19,254,210,0.83,144,9,188,5693469,97,1794,0,2400,6932,73,1.05,1,1,2,4.5,82.5,18.7
양천구,목2동,2,0,0,0,1,3,10,654,498,0.76,53,4,340,3263231,85,907,4,1305,10275,141,1.37,1,2,3,3.3,56.0,16.4
양천구,목3동,1,2,0,0,1,4,5,554,434,0.78,25,0,232,3106224,74,971,0,1098,7376,120,1.63,0,2,2,3.0,51.0,17.0
양천구,신월2동,1,0,0,0,0,3,10,686,548,0.8,35,4,207,2749382,74,716,1,1240,5853,78,1.33,0,1,1,3.0,35.0,11.7
양천구,신월3동,5,0,0,0,1,2,3,442,291,0.66,23,7,202,2165452,77,547,6,641,4202,53,1.26,1,1,2,3.0,33.0,11.0
양천구,신월5동,13,1,1,0,1,4,2,427,328,0.77,33,0,176,2629758,75,633,2,694,4321,47,1.09,1,1,2,4.0,54.5,14.8
양천구,신월6동,0,0,0,0,1,2,6,552,470,0.85,12,0,91,2861120,77,945,0,1392,2731,101,3.7,0,1,1,0.0,0.0,0.0
관악구,중앙동,22,3,0,0,1,4,2,144,131,0.91,25,0,196,2659688,58,914,0,337,6843,33,0.48,1,0,1,3.0,29.0,9.7
양천구,신월7동,4,0,1,0,0,8,7,522,352,0.67,47,3,218,2355515,63,767,2,782,5730,77,1.34,1,1,2,4.0,110.0,27.5
양천구,신정2동,7,0,0,0,1,2,12,281,231,0.82,43,11,139,4749748,85,1354,0,994,4919,31,0.63,0,1,1,6.0,144.0,24.0
양천구,신정6동,0,0,1,0,2,7,3,428,352,0.82,71,2,106,5422674,100,1752,1,1741,6366,79,1.24,0,2,2,6.5,158.0,24.2
양천구,신정7동,0,2,1,0,0,4,9,537,420,0.78,61,13,179,4105140,91,1343,5,1596,7408,102,1.38,0,3,3,7.0,161.7,23.1
양천구,목5동,0,2,2,0,1,9,6,614,511,0.83,142,13,186,6040209,104,1788,1,2944,9522,69,0.72,3,6,9,5.2,83.5,15.9
강서구,염창동,8,2,1,0,3,4,35,1271,978,0.77,29,1,130,4149403,77,1123,3,3436,12119,330,2.72,1,0,1,3.0,62.0,20.7
강서구,등촌2동,7,0,1,0,1,1,8,364,254,0.7,13,0,115,3376193,77,913,4,975,6873,89,1.29,1,1,2,3.5,63.5,17.6
강서구,화곡본동,2,0,0,0,3,11,11,1038,813,0.78,9,0,321,2415100,54,499,1,1420,12399,110,0.89,1,3,4,4.0,67.5,16.7
강서구,화곡2동,4,0,0,0,0,3,2,518,403,0.78,8,5,115,2399728,73,514,3,818,5517,56,1.02,0,2,2,4.5,75.5,17.6
강서구,화곡3동,19,8,1,0,4,5,5,509,446,0.88,9,0,118,3163389,70,850,0,987,6445,91,1.41,0,1,1,7.0,148.0,21.1
강서구,화곡4동,9,1,1,0,1,6,4,610,378,0.62,12,1,175,2433021,71,566,2,827,6357,66,1.04,1,3,4,4.0,55.0,13.7
강서구,화곡6동,74,0,0,1,0,4,6,407,285,0.7,20,0,184,3065202,76,739,1,1380,7794,94,1.21,0,2,2,5.5,118.5,22.0
강서구,화곡8동,2,1,1,0,0,6,5,554,314,0.57,13,0,171,2492240,57,703,3,918,7970,107,1.34,0,1,1,6.0,109.0,18.2
강서구,가양2동,0,5,0,1,0,5,7,352,214,0.61,27,6,22,3089888,91,1156,0,429,4378,54,1.23,1,2,3,4.0,60.5,14.8
강서구,가양3동,0,1,1,0,0,4,8,265,200,0.75,31,3,38,3070414,61,1276,3,622,5025,123,2.45,1,3,4,5.0,109.3,20.4
강서구,화곡1동,108,7,0,0,3,11,6,877,726,0.83,49,3,308,2504960,52,645,5,1994,18770,245,1.31,2,1,3,3.5,49.0,13.4
강서구,우장산동,31,7,1,0,4,6,10,892,661,0.74,29,1,167,4160862,80,851,2,3123,11251,140,1.24,1,4,5,4.5,84.5,18.3
구로구,구로5동,10,6,1,0,6,4,14,796,630,0.79,134,16,315,3234853,60,808,4,1507,10222,169,1.65,1,0,1,3.0,56.0,18.7
구로구,개봉2동,9,2,0,0,0,1,13,648,552,0.85,18,6,173,3085566,76,757,2,1639,8550,148,1.73,0,3,3,5.5,104.5,17.2
구로구,개봉3동,4,0,1,0,0,3,6,618,467,0.76,6,10,268,2531417,73,618,1,873,5561,71,1.28,1,0,1,4.0,56.0,14.0
구로구,오류1동,46,5,1,0,11,1,11,582,395,0.68,29,24,178,2601216,55,660,2,965,7718,119,1.54,0,4,4,4.7,88.0,17.2
구로구,수궁동,3,0,1,0,0,3,9,651,551,0.85,52,21,292,2700019,77,572,4,1121,6476,81,1.25,0,1,1,0.0,0.0,0.0
구로구,가리봉동,25,0,0,0,5,0,4,204,101,0.5,23,10,323,2352441,71,670,1,175,2494,17,0.68,0,0,0,0.0,0.0,0.0
구로구,구로2동,66,4,2,0,2,2,11,761,500,0.66,93,22,447,2466817,59,692,12,614,6320,41,0.65,0,1,1,5.0,88.0,17.6
구로구,개봉1동,9,1,2,0,3,2,11,795,590,0.74,43,15,315,2822702,74,773,4,1952,9031,198,2.19,1,2,3,3.7,76.0,19.4
구로구,오류2동,0,8,0,1,8,4,20,1233,900,0.73,123,18,348,2797426,74,806,1,2113,10217,147,1.44,3,4,7,6.0,110.4,17.1
구로구,항동,0,0,0,0,0,2,8,875,756,0.86,48,2,36,3077245,81,932,1,2441,3133,130,4.15,1,0,1,9.0,167.0,18.6
금천구,독산2동,4,0,0,0,13,7,2,610,480,0.79,22,0,308,2259740,64,484,2,694,5422,79,1.46,2,0,2,3.0,33.5,11.2
금천구,독산3동,16,0,0,0,25,6,6,474,360,0.76,40,0,317,2403718,71,671,1,768,7174,76,1.06,0,2,2,5.0,116.0,23.2
금천구,독산4동,7,0,1,0,10,6,3,587,355,0.6,29,0,256,2272134,70,625,1,480,4310,43,1.0,1,0,1,3.0,34.0,11.3
금천구,시흥2동,0,0,1,0,2,0,12,419,326,0.78,17,0,96,3201731,75,686,0,1186,5264,96,1.82,1,3,4,5.2,91.2,16.6
금천구,시흥3동,2,0,0,0,1,5,5,278,159,0.57,25,5,178,2528235,69,489,1,404,2890,25,0.87,0,1,1,6.0,133.0,22.2
금천구,시흥4동,0,1,0,0,8,8,7,824,479,0.58,10,0,226,2419264,74,580,0,752,5571,56,1.01,0,0,0,0.0,0.0,0.0
영등포구,여의동,66,10,2,3,1,3,5,2867,1868,0.65,258,1,76,5641422,128,1787,4,2339,8619,151,1.75,1,4,5,4.0,81.2,19.9
영등포구,당산1동,60,2,0,0,2,1,17,672,548,0.82,68,0,120,3555912,66,1388,3,975,7245,139,1.92,0,2,2,6.5,166.5,26.8
영등포구,신길3동,13,0,0,0,4,0,4,327,268,0.82,24,3,224,3076031,64,1269,2,1013,4331,88,2.03,0,3,3,4.0,79.5,19.3
영등포구,신길4동,1,0,0,0,1,1,3,505,433,0.86,16,3,115,2730472,67,1501,2,769,2593,83,3.2,1,2,3,3.3,46.0,14.3
영등포구,신길5동,11,0,0,0,0,2,4,220,189,0.86,22,0,122,2660632,76,1301,1,655,2648,43,1.62,0,1,1,9.0,197.0,21.9
영등포구,대림1동,6,1,0,0,3,2,6,399,326,0.82,31,0,165,2589615,76,1040,0,683,3775,58,1.54,0,2,2,5.0,117.0,23.4
영등포구,대림2동,18,0,0,0,2,1,5,279,169,0.61,24,2,252,2708286,60,938,1,349,3465,34,0.98,2,0,2,3.0,38.0,12.6
동작구,사당1동,20,4,0,0,5,3,7,433,355,0.82,11,4,201,2881294,72,987,1,603,9339,90,0.96,0,1,1,10.0,228.0,22.8
서초구,서초4동,21,16,0,0,1,3,9,359,267,0.74,47,0,222,6518537,100,2229,0,2466,7189,97,1.35,1,2,3,4.0,85.3,21.5
동작구,사당3동,24,1,0,0,1,3,4,459,383,0.83,7,3,143,3900230,84,1341,0,1726,7254,104,1.43,1,1,2,5.0,95.0,18.0
동작구,사당4동,2,0,0,0,2,5,4,341,284,0.83,5,0,136,2872091,91,969,0,553,4837,56,1.16,0,0,0,0.0,0.0,0.0
서초구,반포1동,24,4,1,0,2,3,8,749,500,0.67,49,3,244,5348194,90,2701,4,2913,9203,125,1.36,0,1,1,6.0,138.0,23.0
동작구,사당5동,1,0,1,0,1,6,4,191,183,0.96,12,3,130,3085602,64,1146,0,841,4210,97,2.3,2,1,3,3.0,28.0,9.3
동작구,신대방1동,3,1,0,0,1,2,10,444,328,0.74,18,15,175,3864071,88,1133,0,1278,6480,107,1.65,1,3,4,4.7,82.3,18.4
관악구,청림동,0,1,1,0,0,0,5,377,305,0.81,4,7,108,3720047,67,1106,0,1038,4509,109,2.42,1,2,3,6.3,127.3,19.9
관악구,행운동,0,2,0,0,2,3,7,373,265,0.71,14,0,271,2919598,78,911,0,859,12578,79,0.63,2,3,5,4.2,67.8,14.0
관악구,낙성대동,9,1,0,0,1,4,4,844,525,0.62,45,0,216,3234521,74,875,5,498,7985,68,0.85,0,0,0,0.0,0.0,0.0
관악구,인헌동,1,0,0,0,1,5,5,361,316,0.88,12,0,211,2814313,79,909,0,835,10356,66,0.64,0,2,2,6.0,130.0,20.1
관악구,남현동,32,2,0,1,1,3,4,352,210,0.6,15,4,215,3262523,83,915,2,725,7403,85,1.15,1,1,2,4.5,74.0,18.6
관악구,서원동,7,3,0,0,7,2,5,465,272,0.58,24,1,239,2435639,65,881,0,495,10297,64,0.62,0,0,0,0.0,0.0,0.0
관악구,신원동,37,0,0,0,0,1,3,313,189,0.6,10,0,191,2426266,69,805,2,376,7200,41,0.57,1,1,2,3.0,27.5,9.2
관악구,신림동,156,4,0,0,12,3,3,171,113,0.66,16,0,276,2465724,41,878,0,256,13004,31,0.24,0,0,0,0.0,0.0,0.0
관악구,난향동,1,0,0,0,0,1,8,421,311,0.74,20,0,123,3295101,83,878,1,843,3739,41,1.1,0,1,1,7.0,154.0,22.0
관악구,조원동,57,0,1,0,3,2,5,420,300,0.71,70,1,273,2549555,61,894,1,687,6859,89,1.3,0,0,0,0.0,0.0,0.0
관악구,대학동,9,2,1,1,1,5,4,163,116,0.71,26,0,254,2642154,72,814,0,525,10847,59,0.54,1,0,1,6.0,60.0,10.0
서초구,방배1동,2,0,0,0,2,2,1,150,143,0.95,18,6,252,4109448,113,1598,0,934,5420,83,1.53,0,0,0,0.0,0.0,0.0
관악구,은천동,4,0,2,0,1,5,11,648,561,0.87,42,3,248,3094988,74,1028,0,1578,10549,136,1.29,2,3,5,5.4,91.6,16.7
관악구,성현동,2,0,1,0,0,0,10,559,417,0.75,30,3,123,3483573,82,997,0,1557,9082,114,1.26,0,3,3,5.0,114.0,22.8
관악구,청룡동,42,2,0,0,3,7,5,571,381,0.67,32,0,353,2799733,50,1060,1,1039,15089,102,0.68,2,0,2,3.0,43.0,14.3
관악구,난곡동,1,0,0,0,0,5,6,533,390,0.73,16,0,462,2282447,61,793,0,852,7860,56,0.71,1,2,3,4.7,59.7,12.7
