자치구,행정동,유해업소수,대형쇼핑몰수,도서관수,미술관 박물관 극장수,"의료시설수(병원,의원,보건소,보건지소)",공원 수,경로당 수,보육시설정원,보육시설현원,보육시설포화도,횡단보도수,육교수,CCTV수,월평균소득금액,평균면적(m^2),면적당 가격(만원/m^2),"주유소,가스충전소 수",0~9세,2030_상주인구수,23년 출생인구,공립,사립,공립+사립,1인가구 비율(%),어린이집 수,공립유치원정원,사립유치원정원
송파구,잠실4동,12,2,0,0,0,3,5,500,432,0.86,35,3,50,5970352,79,2546,0,2254,5716,90,0,1,1,9.89,35,0.0,244.0
광진구,자양4동,10,3,1,0,3,3,8,350,252,0.72,24,2,282,2800761,74,1455,0,786,5498,86,0,2,2,45.06,16,0.0,58.0
송파구,잠실6동,52,8,1,2,3,2,3,527,438,0.83,49,3,55,5270661,128,1592,1,1237,4476,82,0,1,1,10.59,15,0.0,60.0
동대문구,회기동,18,1,0,1,2,0,1,184,122,0.66,24,0,138,3243016,53,1032,0,311,4381,33,0,2,2,63.91,8,0.0,183.0
동대문구,휘경2동,1,0,1,0,2,3,10,533,369,0.69,40,8,222,3091111,76,932,1,935,8114,75,2,1,3,43.84,23,131.0,151.0
동대문구,청량리동,20,2,1,0,1,1,14,297,194,0.65,48,9,146,2868180,95,1029,3,618,4757,43,0,2,2,37.4,14,0.0,145.0
동대문구,용신동,41,2,1,0,9,6,8,695,560,0.81,126,35,290,2913220,55,1116,3,1985,10114,143,0,1,1,53.9,20,0.0,133.0
동대문구,제기동,44,4,0,1,2,2,6,515,321,0.62,87,18,295,2815717,70,879,4,796,7339,72,1,2,3,46.3,18,18.0,101.0
동대문구,전농1동,7,5,0,0,1,3,6,687,486,0.71,103,3,217,3073126,70,1396,3,1976,8648,132,0,3,3,42.8,17,0.0,266.0
동대문구,전농2동,1,1,1,1,1,2,9,490,324,0.66,9,9,176,3158030,78,1101,0,983,4805,63,2,2,4,23.61,16,74.0,331.0
동대문구,답십리2동,4,0,0,0,4,3,21,743,645,0.87,45,4,201,3052058,68,1080,4,1581,7843,166,0,4,4,29.33,31,0.0,309.0
송파구,잠실7동,23,1,0,0,0,1,2,0,0,0.0,7,0,41,6053210,119,2345,2,534,2447,36,1,1,2,9.57,1,28.0,41.0
동대문구,장안1동,67,2,0,0,15,7,13,1115,941,0.84,87,13,289,2880343,63,784,5,2114,11064,171,1,2,3,34.54,32,77.0,114.0
동대문구,장안2동,6,2,0,0,6,6,10,774,653,0.84,91,5,227,2949910,70,803,1,2486,8316,165,1,2,3,25.98,27,50.0,170.0
중랑구,면목2동,14,0,0,0,2,2,5,581,423,0.73,47,9,235,2337668,68,723,3,945,6826,75,2,2,4,37.18,19,60.0,132.0
중랑구,면목4동,2,0,0,0,0,1,8,405,288,0.71,28,10,210,2586102,74,1018,1,848,5348,77,1,1,2,34.15,15,51.0,38.0
송파구,잠실2동,0,2,1,0,0,2,2,422,395,0.94,45,0,27,6380748,73,2766,0,3289,7813,131,2,1,3,10.55,20,66.0,108.0
중랑구,면목5동,6,1,0,0,0,2,3,290,246,0.85,26,17,155,2246887,73,1090,3,1313,3497,114,0,0,0,26.98,9,0.0,0.0
중랑구,면목7동,14,3,0,0,1,1,12,531,467,0.88,40,0,218,2669465,79,931,1,1027,6242,116,0,1,1,34.75,18,0.0,120.0
중랑구,상봉2동,69,3,1,0,2,3,2,336,251,0.75,64,6,196,2590471,47,947,3,728,7162,142,0,1,1,51.71,10,0.0,135.0
중랑구,중화2동,17,3,0,0,0,4,5,397,312,0.79,82,26,253,2265660,64,743,3,854,7443,77,0,2,2,44.78,13,0.0,170.0
중랑구,묵1동,0,1,1,0,2,7,13,799,539,0.67,68,12,250,3140383,76,853,0,1739,9912,134,0,2,2,27.59,31,0.0,159.0
중랑구,묵2동,32,0,0,0,0,1,5,462,309,0.67,70,15,177,2547489,63,852,1,782,5746,73,2,0,2,36.49,17,64.0,0.0
노원구,공릉2동,0,1,1,2,2,9,23,1326,1053,0.79,97,0,271,3414711,75,913,6,2891,11860,223,2,8,10,30.84,52,64.0,485.0
중랑구,망우3동,3,0,0,0,0,1,3,384,268,0.7,19,2,210,2241100,58,678,1,559,4625,43,1,0,1,36.62,12,7.0,0.0
중랑구,신내2동,0,4,0,0,1,4,9,555,426,0.77,34,1,79,3092303,68,962,0,980,5760,104,2,3,5,26.89,39,81.0,443.0
중랑구,면목본동,12,0,1,0,2,6,7,765,591,0.77,56,0,374,2348141,51,794,1,1225,10512,144,2,1,3,40.7,19,81.0,124.0
중랑구,면목3·8동,5,1,0,0,1,3,8,753,615,0.82,42,0,302,2367907,71,844,0,909,7304,83,0,1,1,38.6,18,0.0,30.0
중랑구,망우본동,15,1,2,0,8,3,10,1012,870,0.86,80,0,301,2458975,64,749,1,2547,8365,214,2,3,5,36.81,25,141.0,201.0
성북구,돈암1동,2,1,0,0,0,2,8,241,205,0.85,27,4,94,3601326,75,955,1,666,4119,75,0,2,2,23.85,11,0.0,252.0
성북구,돈암2동,0,2,3,0,0,0,9,475,410,0.86,7,1,44,4324031,85,957,1,1632,5794,99,0,6,6,14.65,21,0.0,600.0
성북구,안암동,9,0,0,1,2,1,6,363,213,0.59,37,14,181,2917634,65,659,5,371,5136,25,0,1,1,64.38,12,0.0,68.0
성북구,보문동,12,0,0,0,2,3,6,395,310,0.78,33,14,148,3155930,78,1067,2,963,5049,83,1,3,4,42.13,9,27.0,196.0
성북구,길음2동,40,3,1,0,4,0,6,473,401,0.85,42,0,125,3728596,80,1115,2,2031,3804,139,1,1,2,26.03,17,55.0,11.0
노원구,공릉1동,13,1,1,0,4,7,19,732,498,0.68,65,1,299,2800723,65,810,4,1487,12099,110,2,4,6,42.63,37,43.0,351.0
성북구,월곡1동,4,1,0,0,0,5,11,616,509,0.83,33,0,171,3312141,70,985,1,1608,6749,120,1,0,1,24.57,29,60.0,0.0
성북구,장위1동,6,0,1,0,0,1,5,335,289,0.86,24,0,424,2245938,79,989,1,1477,5440,86,1,2,3,30.87,23,60.0,181.0
성북구,장위2동,9,0,0,0,1,0,2,329,250,0.76,47,0,218,2398143,81,816,3,483,3569,53,1,2,3,34.58,19,44.0,96.0
은평구,불광1동,0,6,1,1,2,4,13,760,584,0.77,34,0,276,3219816,72,960,0,1835,10417,147,1,3,4,29.58,40,38.0,77.0
성북구,종암동,15,2,1,0,3,4,19,817,632,0.77,43,11,284,3406932,74,1010,5,2097,10956,135,1,5,6,34.23,49,74.0,501.0
성북구,석관동,16,0,1,0,1,4,8,497,410,0.82,50,0,375,2858120,73,1035,3,1658,9405,143,1,2,3,35.62,29,65.0,136.0
강북구,번1동,2,3,0,0,3,3,6,363,254,0.7,57,0,121,2318825,71,777,2,487,5919,42,1,1,2,47.36,16,36.0,31.0
강북구,번2동,1,0,1,0,1,3,10,336,246,0.73,26,0,104,2317709,75,736,1,488,4138,42,0,1,1,32.21,16,0.0,46.0
강북구,번3동,0,0,0,0,1,2,14,308,235,0.76,30,0,45,2568944,77,776,3,667,3940,61,1,0,1,28.03,9,36.0,0.0
강북구,수유2동,10,3,0,0,0,2,5,616,437,0.71,34,0,92,2594901,66,691,0,833,5501,62,0,3,3,30.67,22,0.0,252.0
강북구,수유3동,150,2,0,0,2,5,4,380,233,0.61,51,0,1325,2221860,56,740,1,594,7411,58,0,1,1,48.97,12,0.0,39.0
강북구,송중동,1,4,1,0,1,4,7,640,553,0.86,56,11,180,2571061,80,949,2,1268,8046,102,1,3,4,35.96,23,51.0,232.0
도봉구,쌍문1동,0,0,1,2,4,1,13,456,282,0.62,51,0,180,2458780,74,641,1,899,5634,67,2,3,5,28.62,15,54.0,227.0
도봉구,쌍문2동,6,1,0,0,3,1,7,480,359,0.75,28,0,78,2445353,86,564,3,789,5343,68,0,1,1,30.96,17,0.0,205.0
도봉구,쌍문3동,12,0,0,0,1,2,7,455,358,0.79,25,0,88,2458777,66,664,3,666,4867,52,0,0,0,37.5,11,0.0,0.0
도봉구,쌍문4동,0,1,0,0,0,1,11,244,193,0.79,22,2,55,2983010,78,716,0,935,5075,44,0,5,5,18.29,20,0.0,412.0
도봉구,방학1동,14,3,0,0,3,4,11,481,391,0.81,80,0,149,2913239,73,729,3,1195,7587,70,1,2,3,30.34,29,60.0,191.0
도봉구,방학2동,10,0,0,0,1,5,4,651,440,0.68,30,0,116,2111754,61,445,2,660,5212,44,0,0,0,32.67,15,0.0,0.0
도봉구,방학3동,0,1,1,0,2,0,18,524,382,0.73,42,0,59,2981111,74,654,2,1480,7013,77,1,3,4,14.67,42,32.0,285.0
도봉구,창1동,1,2,1,0,0,7,6,440,305,0.69,29,0,139,3062656,72,836,1,1137,6904,95,0,2,2,28.89,34,0.0,127.0
도봉구,창2동,6,2,0,0,2,4,7,869,554,0.64,20,0,110,2569991,76,637,2,1370,8425,114,0,1,1,25.3,27,0.0,82.0
도봉구,창3동,0,0,0,0,0,2,5,402,274,0.68,20,0,130,2246742,66,674,0,505,3682,25,1,1,2,32.12,20,24.0,1.0
도봉구,창4동,6,0,1,0,0,5,10,665,472,0.71,26,0,74,3579683,64,1036,0,1393,7399,114,2,2,4,22.6,31,123.0,190.0
도봉구,창5동,30,2,0,0,3,2,12,459,383,0.83,28,0,89,3320477,67,959,1,1182,7259,90,2,2,4,24.57,27,31.0,319.0
서대문구,남가좌2동,2,0,1,0,0,4,6,734,593,0.81,24,0,258,3234073,73,1286,3,2307,7536,157,0,3,3,35.25,30,0.0,356.0
서대문구,북가좌1동,0,1,0,0,3,2,17,417,370,0.89,57,2,114,4030695,78,1061,2,1146,4618,81,0,1,1,18.08,12,0.0,10.0
도봉구,도봉1동,13,0,0,0,2,5,10,385,332,0.86,30,0,199,2291226,74,548,5,616,5189,47,2,1,3,33.09,13,25.0,33.0
도봉구,도봉2동,1,3,1,0,0,2,15,745,497,0.67,65,6,128,2837674,80,720,1,1415,6827,115,0,2,2,26.85,36,0.0,245.0
노원구,월계1동,7,2,1,0,1,6,19,519,429,0.83,37,0,221,2799550,77,928,1,889,6750,81,0,2,2,35.92,28,0.0,99.0
노원구,월계3동,0,2,1,0,1,4,12,617,476,0.77,24,0,71,3139270,63,1108,0,1722,8240,160,1,4,5,27.39,55,66.0,335.0
노원구,하계1동,0,3,1,1,2,9,11,546,326,0.6,61,0,105,3646787,78,1025,0,867,7813,61,1,4,5,30.76,18,32.0,422.0
노원구,중계본동,0,3,1,0,0,3,16,238,164,0.69,29,0,118,4230534,82,942,0,1129,5861,40,1,2,3,14.04,15,57.0,378.0
노원구,중계4동,0,3,1,0,1,5,12,168,125,0.74,28,0,102,3213848,74,876,0,876,4908,39,0,3,3,26.46,19,0.0,213.0
노원구,상계1동,1,2,1,0,1,6,27,829,621,0.75,23,0,206,3051681,79,770,5,1788,10728,116,3,2,5,23.76,48,174.0,161.0
노원구,상계2동,17,6,0,0,4,0,13,712,485,0.68,36,0,168,3141488,73,878,2,686,5892,42,1,2,3,30.34,23,15.0,155.0
노원구,상계5동,7,2,0,0,1,1,10,442,300,0.68,36,0,227,2493124,67,816,1,840,6341,72,1,0,1,30.22,20,14.0,0.0
노원구,중계2·3동,0,6,2,1,1,6,12,460,376,0.82,75,0,99,2955453,65,1106,1,1520,9076,150,1,4,5,28.69,43,13.0,420.0
노원구,상계10동,26,0,1,0,0,4,5,315,271,0.86,43,0,50,3153839,75,1201,0,1193,5127,126,1,2,3,22.9,26,64.0,237.0
노원구,상계6·7동,23,17,1,0,6,10,9,596,477,0.8,42,0,159,3173400,59,1232,0,1883,9673,203,1,4,5,27.02,45,43.0,254.0
은평구,녹번동,16,0,0,0,5,6,12,1248,969,0.78,52,0,295,3040384,71,969,1,2114,10175,205,2,2,4,32.05,26,78.0,295.0
은평구,갈현1동,33,2,0,0,2,3,6,562,214,0.38,26,2,208,2495345,60,776,3,474,6938,38,0,1,1,33.92,21,0.0,36.0
은평구,갈현2동,52,0,0,0,2,3,6,696,462,0.66,28,0,264,2559993,76,597,0,1108,8401,83,0,4,4,27.33,21,0.0,392.0
은평구,구산동,2,1,1,0,3,2,5,690,435,0.63,26,0,275,2625218,79,613,0,1334,8609,74,1,3,4,23.51,29,30.0,191.0
은평구,대조동,73,6,0,0,2,1,4,604,437,0.72,41,0,257,2555764,33,932,0,918,9087,94,0,0,0,43.69,26,0.0,0.0
은평구,응암1동,11,4,0,0,2,3,7,1098,932,0.85,48,0,210,2744076,69,845,1,2230,7899,169,1,2,3,33.84,27,20.0,50.0
은평구,응암2동,0,0,0,0,1,4,4,924,842,0.91,16,0,141,3523843,66,999,0,2727,5773,157,1,2,3,21.45,32,39.0,327.0
은평구,신사1동,8,1,0,0,1,2,9,745,413,0.55,33,0,185,2653534,71,722,1,1197,7965,104,0,3,3,27.43,24,0.0,264.0
강남구,대치4동,14,3,1,1,3,2,6,686,395,0.58,27,0,345,4133268,63,1322,2,590,6937,53,1,0,1,46.22,11,57.0,0.0
은평구,신사2동,5,0,1,0,0,3,8,399,337,0.84,23,0,286,2654016,70,730,1,836,5792,68,1,1,2,28.11,18,17.0,80.0
은평구,증산동,6,1,1,0,0,2,9,445,364,0.82,20,0,184,2865029,74,925,1,1076,4146,83,0,1,1,28.15,25,0.0,91.0
은평구,역촌동,15,1,0,0,2,4,3,1087,818,0.75,64,0,355,2538605,78,630,2,1824,13402,145,1,2,3,29.16,46,26.0,273.0
서대문구,홍제1동,13,3,0,0,0,2,24,609,418,0.69,17,1,247,3453866,72,963,3,1451,6340,120,0,3,3,28.68,14,0.0,223.0
서대문구,홍제3동,0,1,1,0,2,3,2,508,403,0.79,20,0,191,2839603,78,904,0,1001,4128,100,1,1,2,31.36,16,45.0,75.0
서대문구,홍제2동,0,0,0,0,0,0,2,289,202,0.7,10,1,72,3694079,72,979,0,651,3801,66,0,2,2,26.27,12,0.0,143.0
서대문구,홍은1동,4,1,1,0,1,2,17,248,225,0.91,25,2,268,3096481,74,883,1,1249,5631,107,1,1,2,28.62,22,97.0,140.0
서대문구,연희동,5,1,1,1,5,9,11,630,453,0.72,58,17,505,3407515,75,778,3,1305,12929,114,0,1,1,48.96,15,0.0,90.0
마포구,용강동,31,1,0,0,1,4,10,488,369,0.76,73,3,133,4801843,78,1649,1,1867,5529,110,0,2,2,28.53,13,0.0,186.0
마포구,대흥동,3,1,0,0,1,1,6,257,183,0.71,64,0,160,3438438,51,1418,2,569,4730,53,2,0,2,55.01,6,65.0,0.0
마포구,신수동,6,0,0,0,1,3,15,484,404,0.83,72,0,139,4157619,83,1531,2,1458,6299,106,0,1,1,33.43,15,0.0,47.0
마포구,서교동,70,12,1,2,5,6,5,355,260,0.73,136,6,293,3245678,79,1037,1,661,9775,63,0,2,2,58.99,14,0.0,180.0
양천구,신월1동,62,0,0,0,1,5,11,704,418,0.59,29,4,281,2242859,68,558,2,694,5523,57,0,1,1,36.29,27,0.0,76.0
마포구,합정동,16,0,0,1,1,2,4,372,254,0.68,67,0,166,3217611,87,1232,2,648,7280,62,1,0,1,44.67,15,53.0,0.0
마포구,망원1동,4,1,0,0,0,3,5,446,320,0.72,45,0,113,2803732,83,1035,0,779,6772,66,0,0,0,41.05,22,0.0,0.0
마포구,성산2동,9,3,1,0,2,9,18,944,709,0.75,58,2,177,3554997,75,1125,4,1809,12086,185,1,3,4,38.49,41,38.0,299.0
마포구,도화동,1,4,0,0,1,2,12,463,371,0.8,34,9,132,4230010,75,1356,0,1295,6270,123,1,2,3,30.83,17,71.0,212.0
마포구,서강동,24,1,1,1,2,6,11,716,553,0.77,89,11,152,4362487,92,1362,1,1594,8145,88,0,0,0,40.39,21,0.0,0.0
마포구,아현동,15,1,0,0,1,1,18,905,703,0.78,44,0,121,5251272,83,1667,2,2932,7821,255,0,0,0,23.99,27,0.0,0.0
양천구,목1동,6,10,0,0,3,2,19,254,210,0.83,144,9,188,5693469,97,1794,0,2400,6932,73,1,1,2,11.96,15,59.0,106.0
양천구,목2동,2,0,0,0,1,3,10,654,498,0.76,53,4,340,3263231,85,907,4,1305,10275,141,1,2,3,31.03,24,42.0,126.0
양천구,목3동,1,2,0,0,1,4,5,554,434,0.78,25,0,232,3106224,74,971,0,1098,7376,120,0,2,2,32.27,17,0.0,102.0
양천구,신월2동,1,0,0,0,0,3,10,686,548,0.8,35,4,207,2749382,74,716,1,1240,5853,78,0,1,1,22.26,29,0.0,35.0
양천구,신월3동,5,0,0,0,1,2,3,442,291,0.66,23,7,202,2165452,77,547,6,641,4202,53,1,1,2,40.74,18,25.0,41.0
양천구,신월5동,13,1,1,0,1,4,2,427,328,0.77,33,0,176,2629758,75,633,2,694,4321,47,1,1,2,26.96,18,55.0,58.0
양천구,신월6동,0,0,0,0,1,2,6,552,470,0.85,12,0,91,2861120,77,945,0,1392,2731,101,0,1,1,18.06,14,0.0,43.0
관악구,중앙동,22,3,0,0,1,4,2,144,131,0.91,25,0,196,2659688,58,914,0,337,6843,33,1,0,1,62.65,6,29.0,0.0
양천구,신월7동,4,0,1,0,0,8,7,522,352,0.67,47,3,218,2355515,63,767,2,782,5730,77,1,1,2,26.66,23,13.0,110.0
양천구,신정2동,7,0,0,0,1,2,12,281,231,0.82,43,11,139,4749748,85,1354,0,994,4919,31,0,1,1,17.39,15,0.0,144.0
양천구,신정6동,0,0,1,0,2,7,3,428,352,0.82,71,2,106,5422674,100,1752,1,1741,6366,79,0,2,2,9.34,13,0.0,316.0
양천구,신정7동,0,2,1,0,0,4,9,537,420,0.78,61,13,179,4105140,91,1343,5,1596,7408,102,0,3,3,22.46,30,0.0,485.0
양천구,목5동,0,2,2,0,1,9,6,614,511,0.83,142,13,186,6040209,104,1788,1,2944,9522,69,3,6,9,9.21,22,195.0,591.0
강서구,염창동,8,2,1,0,3,4,35,1271,978,0.77,29,1,130,4149403,77,1123,3,3436,12119,330,1,0,1,20.38,41,62.0,0.0
강서구,등촌2동,7,0,1,0,1,1,8,364,254,0.7,13,0,115,3376193,77,913,4,975,6873,89,1,1,2,26.47,19,40.0,87.0
강서구,화곡본동,2,0,0,0,3,11,11,1038,813,0.78,9,0,321,2415100,54,499,1,1420,12399,110,1,3,4,37.47,42,48.0,99.0
강서구,화곡2동,4,0,0,0,0,3,2,518,403,0.78,8,5,115,2399728,73,514,3,818,5517,56,0,2,2,30.75,19,0.0,151.0
강서구,화곡3동,19,8,1,0,4,5,5,509,446,0.88,9,0,118,3163389,70,850,0,987,6445,91,0,1,1,27.24,20,0.0,148.0
강서구,화곡4동,9,1,1,0,1,6,4,610,378,0.62,12,1,175,2433021,71,566,2,827,6357,66,1,3,4,33.32,18,29.0,140.0
강서구,화곡6동,74,0,0,1,0,4,6,407,285,0.7,20,0,184,3065202,76,739,1,1380,7794,94,0,2,2,38.75,18,0.0,237.0
강서구,화곡8동,2,1,1,0,0,6,5,554,314,0.57,13,0,171,2492240,57,703,3,918,7970,107,0,1,1,31.45,34,0.0,109.0
강서구,가양2동,0,5,0,1,0,5,7,352,214,0.61,27,6,22,3089888,91,1156,0,429,4378,54,1,2,3,48.12,9,45.0,109.0
강서구,가양3동,0,1,1,0,0,4,8,265,200,0.75,31,3,38,3070414,61,1276,3,622,5025,123,1,3,4,39.22,18,38.0,310.0
강서구,화곡1동,108,7,0,0,3,11,6,877,726,0.83,49,3,308,2504960,52,645,5,1994,18770,245,2,1,3,41.9,36,102.0,5.0
강서구,우장산동,31,7,1,0,4,6,10,892,661,0.74,29,1,167,4160862,80,851,2,3123,11251,140,1,4,5,18.91,44,58.0,297.0
구로구,구로5동,10,6,1,0,6,4,14,796,630,0.79,134,16,315,3234853,60,808,4,1507,10222,169,1,0,1,40.43,25,56.0,0.0
구로구,개봉2동,9,2,0,0,0,1,13,648,552,0.85,18,6,173,3085566,76,757,2,1639,8550,148,0,3,3,20.25,41,0.0,263.0
구로구,개봉3동,4,0,1,0,0,3,6,618,467,0.76,6,10,268,2531417,73,618,1,873,5561,71,1,0,1,23.04,18,60.0,0.0
구로구,오류1동,46,5,1,0,11,1,11,582,395,0.68,29,24,178,2601216,55,660,2,965,7718,119,0,4,4,43.84,14,0.0,284.0
구로구,수궁동,3,0,1,0,0,3,9,651,551,0.85,52,21,292,2700019,77,572,4,1121,6476,81,0,1,1,22.96,16,0.0,40.0
구로구,가리봉동,25,0,0,0,5,0,4,204,101,0.5,23,10,323,2352441,71,670,1,175,2494,17,0,0,0,58.13,7,0.0,0.0
구로구,구로2동,66,4,2,0,2,2,11,761,500,0.66,93,22,447,2466817,59,692,12,614,6320,41,0,1,1,39.17,29,0.0,88.0
구로구,개봉1동,9,1,2,0,3,2,11,795,590,0.74,43,15,315,2822702,74,773,4,1952,9031,198,1,2,3,26.8,29,44.0,184.0
구로구,오류2동,0,8,0,1,8,4,20,1233,900,0.73,123,18,348,2797426,74,806,1,2113,10217,147,3,4,7,22.69,51,181.0,427.0
구로구,항동,0,0,0,0,0,2,8,875,756,0.86,48,2,36,3077245,81,932,1,2441,3133,130,1,0,1,22.68,19,175.0,0.0
금천구,독산2동,4,0,0,0,13,7,2,610,480,0.79,22,0,308,2259740,64,484,2,694,5422,79,2,0,2,38.17,29,71.0,0.0
금천구,독산3동,16,0,0,0,25,6,6,474,360,0.76,40,0,317,2403718,71,671,1,768,7174,76,0,2,2,39.86,20,0.0,155.0
금천구,독산4동,7,0,1,0,10,6,3,587,355,0.6,29,0,256,2272134,70,625,1,480,4310,43,1,0,1,38.03,18,38.0,0.0
금천구,시흥2동,0,0,1,0,2,0,12,419,326,0.78,17,0,96,3201731,75,686,0,1186,5264,96,1,3,4,20.35,29,77.0,288.0
금천구,시흥3동,2,0,0,0,1,5,5,278,159,0.57,25,5,178,2528235,69,489,1,404,2890,25,0,1,1,26.12,5,0.0,133.0
금천구,시흥4동,0,1,0,0,8,8,7,824,479,0.58,10,0,226,2419264,74,580,0,752,5571,56,0,0,0,29.11,23,0.0,0.0
영등포구,여의동,66,10,2,3,1,3,5,2867,1868,0.65,258,1,76,5641422,128,1787,4,2339,8619,151,1,4,5,22.39,41,43.0,313.0
영등포구,당산1동,60,2,0,0,2,1,17,672,548,0.82,68,0,120,3555912,66,1388,3,975,7245,139,0,2,2,43.38,18,0.0,333.0
영등포구,신길3동,13,0,0,0,4,0,4,327,268,0.82,24,3,224,3076031,64,1269,2,1013,4331,88,0,3,3,32.14,21,0.0,176.0
영등포구,신길4동,1,0,0,0,1,1,3,505,433,0.86,16,3,115,2730472,67,1501,2,769,2593,83,1,2,3,34.57,13,43.0,99.0
영등포구,신길5동,11,0,0,0,0,2,4,220,189,0.86,22,0,122,2660632,76,1301,1,655,2648,43,0,1,1,31.34,6,0.0,197.0
영등포구,대림1동,6,1,0,0,3,2,6,399,326,0.82,31,0,165,2589615,76,1040,0,683,3775,58,0,2,2,35.84,21,0.0,133.0
영등포구,대림2동,18,0,0,0,2,1,5,279,169,0.61,24,2,252,2708286,60,938,1,349,3465,34,2,0,2,45.88,12,76.0,0.0
동작구,사당1동,20,4,0,0,5,3,7,433,355,0.82,11,4,201,2881294,72,987,1,603,9339,90,0,1,1,52.66,10,0.0,228.0
서초구,서초4동,21,16,0,0,1,3,9,359,267,0.74,47,0,222,6518537,100,2229,0,2466,7189,97,1,2,3,15.28,11,59.0,197.0
동작구,사당3동,24,1,0,0,1,3,4,459,383,0.83,7,3,143,3900230,84,1341,0,1726,7254,104,1,1,2,27.13,17,53.0,137.0
동작구,사당4동,2,0,0,0,2,5,4,341,284,0.83,5,0,136,2872091,91,969,0,553,4837,56,0,0,0,40.7,11,0.0,0.0
서초구,반포1동,24,4,1,0,2,3,8,749,500,0.67,49,3,244,5348194,90,2701,4,2913,9203,125,0,1,1,39.2,16,0.0,138.0
동작구,사당5동,1,0,1,0,1,6,4,191,183,0.96,12,3,130,3085602,64,1146,0,841,4210,97,2,1,3,32.94,12,37.0,63.0
동작구,신대방1동,3,1,0,0,1,2,10,444,328,0.74,18,15,175,3864071,88,1133,0,1278,6480,107,1,3,4,33.14,17,72.0,194.0
관악구,청림동,0,1,1,0,0,0,5,377,305,0.81,4,7,108,3720047,67,1106,0,1038,4509,109,1,2,3,23.67,31,69.0,317.0
관악구,행운동,0,2,0,0,2,3,7,373,265,0.71,14,0,271,2919598,78,911,0,859,12578,79,2,3,5,59.02,19,69.0,236.0
관악구,낙성대동,9,1,0,0,1,4,4,844,525,0.62,45,0,216,3234521,74,875,5,498,7985,68,0,0,0,64.5,12,0.0,0.0
관악구,인헌동,1,0,0,0,1,5,5,361,316,0.88,12,0,211,2814313,79,909,0,835,10356,66,0,2,2,51.39,20,0.0,260.0
관악구,남현동,32,2,0,1,1,3,4,352,210,0.6,15,4,215,3262523,83,915,2,725,7403,85,1,1,2,44.94,11,75.0,75.0
관악구,서원동,7,3,0,0,7,2,5,465,272,0.58,24,1,239,2435639,65,881,0,495,10297,64,0,0,0,58.87,15,0.0,0.0
관악구,신원동,37,0,0,0,0,1,3,313,189,0.6,10,0,191,2426266,69,805,2,376,7200,41,1,1,2,55.52,12,30.0,25.0
관악구,신림동,156,4,0,0,12,3,3,171,113,0.66,16,0,276,2465724,41,878,0,256,13004,31,0,0,0,76.9,6,0.0,0.0
관악구,난향동,1,0,0,0,0,1,8,421,311,0.74,20,0,123,3295101,83,878,1,843,3739,41,0,1,1,23.6,14,0.0,154.0
관악구,조원동,57,0,1,0,3,2,5,420,300,0.71,70,1,273,2549555,61,894,1,687,6859,89,0,0,0,58.52,15,0.0,0.0
관악구,대학동,9,2,1,1,1,5,4,163,116,0.71,26,0,254,2642154,72,814,0,525,10847,59,1,0,1,68.88,11,60.0,0.0
서초구,방배1동,2,0,0,0,2,2,1,150,143,0.95,18,6,252,4109448,113,1598,0,934,5420,83,0,0,0,33.24,9,0.0,0.0
관악구,은천동,4,0,2,0,1,5,11,648,561,0.87,42,3,248,3094988,74,1028,0,1578,10549,136,2,3,5,38.57,32,138.0,327.0
관악구,성현동,2,0,1,0,0,0,10,559,417,0.75,30,3,123,3483573,82,997,0,1557,9082,114,0,3,3,26.66,32,0.0,175.0
관악구,청룡동,42,2,0,0,3,7,5,571,381,0.67,32,0,353,2799733,50,1060,1,1039,15089,102,2,0,2,64.78,21,85.0,0.0
관악구,난곡동,1,0,0,0,0,5,6,533,390,0.73,16,0,462,2282447,61,793,0,852,7860,56,1,2,3,35.44,21,40.0,143.0
서초구,서초1동,2,4,0,1,4,2,8,683,455,0.67,36,0,298,4811809,101,1444,2,1121,6379,107,0,1,1,37.69,16,0.0,93.0
서초구,서초3동,57,2,1,3,5,8,8,720,445,0.62,91,8,478,4731537,124,1442,6,1518,9698,141,0,1,1,37.52,16,0.0,69.0
서초구,잠원동,33,6,1,0,1,6,31,436,292,0.67,70,2,230,5491700,101,2468,3,1730,8183,94,0,2,2,27.13,21,0.0,256.0
서초구,반포2동,2,1,0,0,0,4,3,473,298,0.63,28,6,130,6796941,101,3374,3,2188,3080,69,0,2,2,6.84,10,0.0,116.0
서초구,반포3동,0,7,0,0,0,5,9,442,362,0.82,46,0,97,6158570,83,2929,1,1849,4651,112,0,1,1,12.93,19,0.0,139.0
서초구,반포4동,0,1,1,0,2,4,6,752,585,0.78,26,8,315,5316166,148,1533,1,1425,5080,94,0,0,0,17.33,13,0.0,0.0
서초구,방배본동,10,1,0,0,3,1,8,181,141,0.78,46,6,267,4909440,164,1473,1,1212,5252,49,1,0,1,23.03,8,68.0,0.0
서초구,방배3동,0,0,2,0,2,4,11,429,309,0.72,30,3,249,4709005,121,1646,1,1073,5957,61,0,3,3,19.87,10,0.0,171.0
서초구,방배4동,4,6,0,0,3,2,4,409,359,0.88,48,4,312,4576463,135,1453,1,1279,6815,90,1,1,2,28.99,18,57.0,52.0
