시군구명,어린이집명,시설 위도(좌표값),시설 경도(좌표값)
성동구,힐스테이트 어린이집,37.54123386,127.0521307
성동구,딩동댕어린이집,37.53610286,127.052973
성동구,즐거운어린이집,37.53622527,127.0554313
성동구,구립 성덕어린이집,37.53715143,127.0530548
성동구,구립 송정햇살어린이집,37.550148537903,127.065481992473
성동구,건영아이자람어린이집,37.55592699,127.0708094
성동구,행복가득어린이집,37.55525641,127.0695253
성동구,송정어린이집,37.54888600913,127.067490670296
성동구,구립 송화어린이집,37.55493618,127.0692508
성동구,서울교통공사 어린이집,37.5617940964775,127.056433020795
성동구,구립 단비어린이집,37.56476418,127.0517421
성동구,꿈터 어린이집,37.562335299657,127.055152188811
성동구,피노키오어린이집,37.56443411,127.0538392
성동구,구립 용답어린이집,37.5616001,127.0563991
성북구,엔젤어린이집,37.6144973934069,127.007520649311
성북구,파아란어린이집,37.6154815317461,127.01008901605
성북구,한사랑어린이집,37.6169480419495,127.008123473955
성북구,원정어린이집,37.6165625684928,127.00554096897
성북구,성북생명숲어린이집,37.6160325601005,127.009183535874
성북구,보나어린이집,37.61399102,127.0076351
성북구,완두콩어린이집,37.61864386,127.0073048
성북구,사랑어린이집,37.6171123614712,127.009599357676
성북구,연꽃어린이집,37.61244834,127.0134241
성북구,풍림 어린이집,37.61864386,127.0073048
성북구,청아어린이집,37.6178772101568,127.003781368815
성북구,파란나라어린이집,37.61195526,127.0094188
성북구,솔샘어린이집,37.61376773,127.0110893
성북구,바람아래발도르프어린이집,37.6057234630929,127.021249850326
성북구,해피래미안어린이집,37.6103444981247,127.020774072063
성북구,대림어린이집,37.6128204645335,127.017713902647
성북구,예삐어린이집,37.6049104939189,127.020258696862
성북구,길음성가어린이집,37.6026964149301,127.02095030587
성북구,미예뜰 어린이집,37.60505,127.022026
성북구,까꿍 어린이집,37.6026964149301,127.02095030587
성북구,두산위브 어린이집,37.60961064,127.0186773
성북구,꿈터어린이집,37.606515545577,127.019283760635
성북구,꿈동이어린이집,37.610272891607,127.017888845802
성북구,이삭 어린이집,37.6066569095378,127.022355727775
성북구,시온 어린이집,37.60588573,127.0202993
성북구,별초롱 어린이집,37.607086,127.02328
성북구,엄마품어린이집,37.6056342332099,127.022632882614
성북구,래미안어린이집,37.60585,127.02099
성북구,햇살가득 어린이집,37.61085066,127.017944
성북구,예능 어린이집,37.61196439,127.0194675
성북구,e-편한세상 어린이집,37.61196439,127.0194675
성북구,길음빛어린이집,37.61046755,127.0194396
성북구,은빛 어린이집,37.60585,127.02099
성북구,웅지어린이집,37.60222342,127.0212149
성북구,햇살내리는어린이집,37.5947659327707,127.001983840027
성북구,한빛어린이집,37.5910307,127.0032273
성북구,베들레헴 어린이집,37.59241721,127.0010743
성북구,성북어린이집,37.5896129215434,127.005846772429
성북구,삼선예일어린이집,37.5834127433199,127.012861301243
성북구,행복가득한어린이집,37.5903504293022,127.012477525936
성북구,성북구청직장어린이집,37.58943373,127.0168305
성북구,다솜어린이집,37.58350407,127.0133817
성북구,삼선뜰어린이집,37.58638773,127.013638
성북구,삼선어린이집,37.58176947,127.0091736
성북구,다윗어린이집,37.59001714,127.0177491
성북구,성신어린이집,37.5969996545,127.0133392318
성북구,돈암교회어린이집,37.59585688,127.0178728
성북구,동선어린이집,37.59536304,127.0151615
동대문구,늘봄어린이집,37.5911184340909,127.06244488137
동대문구,휘경SK뷰어린이집,37.5935220071109,127.066251450454
동대문구,휘경스마일어린이집,37.5914866136046,127.057777935217
동대문구,새하늘어린이집,37.5876913961219,127.053662254665
동대문구,SDA꿈사랑어린이집,37.5910546563896,127.063769586763
동대문구,다솔창의어린이집,37.59335698,127.0648568
동대문구,다솔어린이집,37.59470651,127.064943
동대문구,휘경어린이집,37.5913124,127.0613223
동대문구,한빛어린이집,37.5984856725055,127.056991526737
동대문구,아이랑어린이집,37.5960665134599,127.067652156482
동대문구,신나는어린이집,37.59644915,127.0646052
동대문구,한국외국어대학교어린이집,37.5990516765,127.0570817007
동대문구,경희대학교직장어린이집,37.59621368,127.0548411
동대문구,보림어린이집,37.59768416,127.0654764
동대문구,사랑샘어린이집,37.59351274,127.0603039
동대문구,한일어린이집,37.59888105,127.0666539
동대문구,솜송이어린이집,37.59423642,127.0606628
동대문구,이편한오렌지어린이집,37.6045865924005,127.065502502203
동대문구,이문현대어린이집,37.6005294701283,127.07014185037
동대문구,대림 어린이집,37.6033610068849,127.065931761951
동대문구,예일어린이집,37.60448057,127.0650075
