행정동,월평균소득금액
제기동,2815717.4736842103
조원동,2549555.210526316
종로1.2.3.4가동,3261845.5789473685
종로5.6가동,2534670.736842105
종암동,3406932.052631579
중계1동,4657489.684210527
중계2.3동,2955453.3157894737
중계4동,3213848.1052631577
중계본동,4230534.105263158
중곡1동,2558983.736842105
중곡2동,2576212.0
중곡3동,2409648.3157894737
중곡4동,2542721.736842105
중림동,4451102.842105263
중앙동,2659688.210526316
중화1동,2540502.4736842103
중화2동,2265660.789473684
증산동,2865029.8421052634
진관동,4100987.736842105
창1동,3062656.8421052634
창2동,2569991.5789473685
창3동,2246742.0
창4동,3579683.052631579
창5동,3320477.5263157897
창신1동,2402760.3684210526
창신2동,2123343.5263157897
창신3동,3023324.8947368423
천연동,4221818.894736842
천호1동,2492890.0
천호2동,2759828.736842105
천호3동,3174637.947368421
청구동,3583972.263157895
청담동,5064308.842105263
청량리동,2868180.5263157897
청룡동,2799733.3157894737
청림동,3720047.947368421
청운효자동,3817398.6315789474
청파동,2633730.052631579
충현동,3226418.3684210526
평창동,4544046.052631579
풍납1동,3020190.8947368423
풍납2동,3917183.789473684
필동,3041074.3684210526
하계1동,3646787.6842105263
하계2동,3643362.8947368423
한강로동,4980382.105263158
한남동,4397761.052631579
합정동,3217611.947368421
항동,3077245.947368421
행당1동,3869155.1578947366
행당2동,4437986.578947368
행운동,2919598.789473684
혜화동,3355042.6315789474
홍은1동,3096481.3157894737
홍은2동,2891575.789473684
홍제1동,3453866.3684210526
홍제2동,3694079.6315789474
홍제3동,2839603.1052631577
화곡1동,2504960.6842105263
화곡2동,2399728.736842105
화곡3동,3163389.4210526315
화곡4동,2433021.5789473685
화곡6동,3065202.8421052634
화곡8동,2492240.1052631577
화곡본동,2415100.6315789474
화양동,2490675.1578947366
황학동,3259918.789473684
회기동,3243016.3157894737
회현동,4461434.842105263
효창동,3540899.736842105
후암동,3035337.3157894737
휘경1동,2747514.6842105263
휘경2동,3091111.736842105
흑석동,4212859.7894736845
