사업종류,상호,주소,자치구,법정동
판매사업,한샘가스,서울특별시 은평구 증산동  182번지 4호  ,은평구,증산동
판매사업,한일가스,서울특별시 광진구 중곡동  190번지 20호  ,광진구,중곡동
판매사업,형선가스,서울특별시 성북구 성북동  68번지 4호  ,성북구,성북동
판매사업,삼일가스,서울특별시 마포구 동교동  204번지 6호  ,마포구,동교동
판매사업,삼표가스,서울특별시 용산구 한강로3가  40번지 489호  ,용산구,한강로3가
판매사업,주식회사 현대가스텍 우성가스 지점,서울특별시 성동구 마장동  460번지 27호  ,성동구,마장동
판매사업,극동가스,서울특별시 구로구 신도림동  439번지 15호  ,구로구,신도림동
판매사업,린나이가스,서울특별시 마포구 합정동  438번지 3호  ,마포구,합정동
판매사업,명지가스,서울특별시 서대문구 남가좌동  215번지 55호  ,서대문구,남가좌동
판매사업,서울유공가스,서울특별시 성동구 응봉동  193번지 131호  ,성동구,응봉동
판매사업,경남가스,서울특별시 성동구 하왕십리동  970번지 67호  ,성동구,하왕십리동
판매사업,유공가스,서울특별시 성동구 금호동2가  4번지  ,성동구,금호동2가
판매사업,용산합동가스,서울특별시 용산구 청파동2가  104번지 2호  ,용산구,청파동2가
판매사업,동문가스,서울특별시 종로구 숭인동  5번지 9호  ,종로구,숭인동
판매사업,형제특수가스,서울특별시 양천구 신정동  170번지 14호  ,양천구,신정동
판매사업,하나가스,서울특별시 용산구 이태원동  137번지 48호  ,용산구,이태원동
판매사업,대성한국가스,서울특별시 양천구 신월동  500번지 11호  ,양천구,신월동
판매사업,대도가스,서울특별시 성북구 종암동  44번지 19호  ,성북구,종암동
판매사업,대영가스,서울특별시 성북구 길음동  1118번지 1호  ,성북구,길음동
판매사업,유공가스,서울특별시 성북구 하월곡동  90번지 260호  ,성북구,하월곡동
충전사업,목동충전소,서울특별시 양천구 신정동  994번지 4호  ,양천구,신정동
판매사업,영등포제1가스,서울특별시 영등포구 당산동6가  313번지 8호  ,영등포구,당산동6가
판매사업,아진가스산업,서울특별시 종로구 낙원동  220번지  ,종로구,낙원동
판매사업,화랑가스,서울특별시 마포구 토정동  3-1번지  ,마포구,토정동
판매사업,(주)서초종합가스지점방배가스,서울특별시 서초구 방배동  969번지 5호  ,서초구,방배동
판매사업,대흥가스,서울특별시 서대문구 홍제동  266번지 60호  ,서대문구,홍제동
판매사업,대흥가스,서울특별시 서대문구 홍제동  266번지 60호  ,서대문구,홍제동
판매사업,동남가스,서울특별시 중랑구 상봉동  126번지 53호  ,중랑구,상봉동
판매사업,양심가스,서울특별시 성북구 하월곡동  74번지 2호  ,성북구,하월곡동
판매사업,영풍가스,서울특별시 은평구 진관동  424번지 92호  ,은평구,진관동
판매사업,천일가스,서울특별시 은평구 응암동  195번지 25호  ,은평구,응암동
판매사업,은평가스산업상사,서울특별시 은평구 응암동  601번지 75호  ,은평구,응암동
판매사업,삼표조광가스,서울특별시 은평구 대조동  219번지 18호  ,은평구,대조동
충전사업,(주)노일가스,서울특별시 노원구 상계동  1034번지 1호  ,노원구,상계동
판매사업,동양가스,서울특별시 은평구 불광동  281번지 144호  ,은평구,불광동
판매사업,동양가스상사,서울특별시 마포구 신공덕동  56번지 28호  ,마포구,신공덕동
충전사업,대지가스강남충전소,서울특별시 강남구 자곡동  204번지 1호  ,강남구,자곡동
판매사업,진우에프테크,서울특별시 중랑구 면목동  172번지 93호  ,중랑구,면목동
판매사업,신동방가스,서울특별시 강동구 천호동  325번지 8호  ,강동구,천호동
판매사업,대한가스,서울특별시 강서구 화곡동  1035번지 14호  ,강서구,화곡동
저장소설치,태환자동화산업,서울특별시 구로구 고척동  143번지 1호  ,구로구,고척동
판매사업,삼일가스,서울특별시 동대문구 이문동  291번지 35호  ,동대문구,이문동
충전사업,수서LPG충전소,서울특별시 강남구 자곡동  204번지 1호  ,강남구,자곡동
판매사업,삼일가스,서울특별시 중구 신당동  162번지 24호  ,중구,신당동
판매사업,우리가스,서울특별시 중랑구 망우동  457번지 9호  ,중랑구,망우동
판매사업,화랑가스,서울특별시 중랑구 중화동  330번지 77호  ,중랑구,중화동
판매사업,우일가스,서울특별시 노원구 월계동  508번지 20호  ,노원구,월계동
판매사업,유공가스,서울특별시 중구 충무로2가  53번지 8호  ,중구,충무로2가
판매사업,제이가스,서울특별시 강북구 미아동  218번지 59호  ,강북구,미아동
판매사업,성원가스,서울특별시 동대문구 제기동  803번지  ,동대문구,제기동
판매사업,장평가스,서울특별시 동대문구 장안동  319번지 9호  ,동대문구,장안동
판매사업,삼표대성가스,서울특별시 마포구 당인동  25번지 22호  ,마포구,당인동
판매사업,삼성가스,서울특별시 중랑구 면목동  353번지 2호  ,중랑구,면목동
판매사업,동아가스,서울특별시 서대문구 홍은동  8번지 44호  ,서대문구,홍은동
판매사업,제일가스,서울특별시 서대문구 연희동  717번지  ,서대문구,연희동
판매사업,영천가스,서울특별시 서대문구 천연동  112번지  ,서대문구,천연동
판매사업,동우가스상사,서울특별시 구로구 구로동  252번지 77호  ,구로구,구로동
판매사업,성북제일가스,서울특별시 성북구 보문동1가  40번지  ,성북구,보문동1가
판매사업,공항가스,서울특별시 강서구 방화동  465번지 26호  ,강서구,방화동
판매사업,안전가스상사,서울특별시 종로구 이화동  9번지 24호  ,종로구,이화동
판매사업,유림가스,서울특별시 종로구 평창동  151번지 2호  ,종로구,평창동
충전사업,현대정유(주)용두동충전소,서울특별시 동대문구 용두동  34번지 4호  ,동대문구,용두동
판매사업,통일가스,서울특별시 강동구 상일동  20번지 1호  ,강동구,상일동
충전사업,복지상일충전소,서울특별시 강동구 상일동  443번지 5호  ,강동구,상일동
충전사업,동서울충전소,서울특별시 강동구 상일동  443번지 5호  ,강동구,상일동
충전사업,서부충전소,서울특별시 은평구 진관동  83번지 2호  ,은평구,진관동
판매사업,관악에너지,서울특별시 관악구 봉천동  1662번지 8호  ,관악구,봉천동
판매사업,삼표가스,서울특별시 강서구 화곡동  29번지 22호  ,강서구,화곡동
판매사업,동양가스,서울특별시 종로구 권농동  123번지  ,종로구,권농동
판매사업,대영가스상사,서울특별시 종로구 숭인동  226번지 1호  ,종로구,숭인동
판매사업,삼성가스,서울특별시 종로구 평동  12번지 2호  ,종로구,평동
판매사업,태흥가스,서울특별시 종로구 익선동  8번지  ,종로구,익선동
판매사업,현대가스,서울특별시 종로구 창신동  130번지 66호  ,종로구,창신동
판매사업,대안가스,서울특별시 관악구 신림동   112-1,관악구,신림동
충전사업,대치가스(주),서울특별시 강남구 자곡동  373번지 1호  ,강남구,자곡동
판매사업,현대가스상사,서울특별시 구로구 오류동  231번지 1호  ,구로구,오류동
충전사업,개인택시조합 복지제2충전소,서울특별시 송파구 신천동  11번지 7호  ,송파구,신천동
충전사업,(주)수서에너지,"서울특별시 강남구 세곡동  34번지 3호  , 34-7",강남구,세곡동
충전사업,복지강남충전소,서울특별시 강남구 자곡동  373번지 1호  ,강남구,자곡동
충전사업,수서LPG충전소,서울특별시 강남구 자곡동  204번지 1호  ,강남구,자곡동
판매사업,한미가스,서울특별시 동대문구 용두동  254번지 8호  ,동대문구,용두동
판매사업,노원연합가스,서울특별시 노원구 상계동  43번지 27호  ,노원구,상계동
판매사업,서울가스,서울특별시 동대문구 용두동  103번지 0010호  ,동대문구,용두동
충전사업,정삼선,서울특별시 은평구 진관동  산 56번지 1호  ,은평구,진관동
충전사업,오융환,서울특별시 은평구 진관동  385번지 1호  ,은평구,진관동
판매사업,SK가스상사,서울특별시 구로구 개봉동  139번지 94호  ,구로구,개봉동
판매사업,평화가스,서울특별시 용산구 용문동  40번지 2호  ,용산구,용문동
판매사업,봉화가스,서울특별시 중랑구 묵동  234번지 14호  ,중랑구,묵동
충전사업,현대정유(주),서울특별시 관악구 신림동  112번지 46호  ,관악구,신림동
판매사업,동대문에너지,서울특별시 동대문구 전농동  20번지 434호  ,동대문구,전농동
판매사업,태아가스연료상사,서울특별시 종로구 원남동  95번지  ,종로구,원남동
