노드 유형 코드,시군구코드,시군구명,읍면동코드,읍면동명,육교,Longitude,Latitude
0.0,1153000000,구로구,1153010700,개봉동,1,126.85394889229369,37.48333208125685
0.0,1153000000,구로구,1153010800,오류동,1,126.83235423599201,37.49184331417287
0.0,1153000000,구로구,1153010800,오류동,1,126.83258906024686,37.491905623531856
0.0,1153000000,구로구,1153010100,신도림동,1,126.87828147295616,37.5114027286127
0.0,1153000000,구로구,1153011000,온수동,1,126.8243416672993,37.49214980639766
0.0,1153000000,구로구,1153010100,신도림동,1,126.87788932257425,37.511617932688694
0.0,1153000000,구로구,1153010100,신도림동,1,126.87852120498881,37.512354920742645
0.0,1153000000,구로구,1153010100,신도림동,1,126.87748308489284,37.51120041952425
0.0,1153000000,구로구,1153011000,온수동,1,126.82589369373889,37.49045857227077
0.0,1153000000,구로구,1153011000,온수동,1,126.8259726658967,37.490451229396854
0.0,1153000000,구로구,1153011000,온수동,1,126.82608796652555,37.49051554965903
0.0,1153000000,구로구,1153010200,구로동,1,126.87107123331964,37.49538029875132
0.0,1153000000,구로구,1153010700,개봉동,1,126.85577240487362,37.501041784032545
0.0,1153000000,구로구,1153010800,오류동,1,126.82628667493583,37.49035312069974
0.0,1153000000,구로구,1153011000,온수동,1,126.82623216124186,37.49064902077055
0.0,1153000000,구로구,1153011000,온수동,1,126.82621732759266,37.490611877094615
0.0,1153000000,구로구,1153010800,오류동,1,126.83977660917758,37.49801769003833
0.0,1153000000,구로구,1153010600,고척동,1,126.86783077504005,37.49586503612561
0.0,1153000000,구로구,1153010200,구로동,1,126.89763665871062,37.48729010368637
0.0,1153000000,구로구,1153010200,구로동,1,126.89276605972452,37.5019110640468
0.0,1153000000,구로구,1153010800,오류동,1,126.84366644623898,37.498585885978606
0.0,1153000000,구로구,1153010300,가리봉동,1,126.88199774527486,37.486113420279324
2.0,1153000000,구로구,1153010200,구로동,1,126.87581129954151,37.489376471118305
0.0,1153000000,구로구,1153010200,구로동,1,126.88206780513045,37.50156521962244
2.0,1153000000,구로구,1153010800,오류동,1,126.84373988203829,37.49367016734308
0.0,1153000000,구로구,1153010700,개봉동,1,126.85640664661675,37.49534921892417
0.0,1153000000,구로구,1153010700,개봉동,1,126.85636185791041,37.49500883123436
0.0,1153000000,구로구,1153010700,개봉동,1,126.85643792441238,37.49483513650035
0.0,1153000000,구로구,1153010600,고척동,1,126.86491297314537,37.50480061150921
0.0,1153000000,구로구,1153010600,고척동,1,126.86493243028448,37.50516222496879
0.0,1153000000,구로구,1153010700,개봉동,1,126.85194116126526,37.48931416380923
0.0,1153000000,구로구,1153010700,개봉동,1,126.85167736184955,37.48909641993425
