지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
서울특별시 도봉구 도봉동 601-55,(주)송만에너지 도봉제일주유소,주유소,203823.231146741,463563.062274237,도봉구,도봉동
서울특별시 노원구 공릉동 379-17,한신주유소,주유소,206281.230299741,458294.967069304,노원구,공릉동
"서울특별시 노원구 하계동 271-3 극동,건영,벽산아파트 ",(주)에스지에너지,항공유판매소,205601.066015629,459233.675551946,노원구,하계동
서울특별시 노원구 공릉동 26-44 ,삼육주유소,주유소,209707.003485464,459690.906091569,노원구,공릉동
서울특별시 노원구 상계동 387-212 ,상계동주유소,주유소,206207.642921419,461781.220741788,노원구,상계동
서울특별시 도봉구 도봉동 602-3,에스케이대한에너지 주식회사,일반판매소,203769.387327639,463641.030222332,도봉구,도봉동
서울특별시 노원구 상계동 635-42 ,태양에너지,일반판매소,,,노원구,상계동
서울특별시 노원구 하계동 141-3 ,하계삼호주유소,일반판매소,206311.021149288,459031.311226013,노원구,하계동
"서울특별시 노원구 공릉동 657 12,14호 ",(주)이엠석유배꽃나라주유소,주유소,206932.407070741,457368.334162862,노원구,공릉동
서울특별시 도봉구 방학동 724-5,오복주유소,주유소,204117.638065096,462218.032568554,도봉구,방학동
서울특별시 노원구 공릉동 649-14 외1필지 ,화랑대주유소,주유소,207048.934916803,457473.605237492,노원구,공릉동
서울특별시 노원구 상계동 169-380 ,태양에너지,일반판매소,206179.474406888,462252.503028289,노원구,상계동
서울특별시 노원구 상계동 110-9 ,당고개주유소,주유소,206964.311274368,462947.66303412,노원구,상계동
서울특별시 노원구 상계동 1049-66 ,순환주유소,주유소,204778.288694881,463560.420620115,노원구,상계동
서울특별시 동대문구 용두동 40-9,대성산업(주) 동마장주유소,주유소,203331.947102,452924.869125,동대문구,용두동
서울특별시 노원구 공릉동 26-63 ,삼육주유소,주유소,209556.385815787,459591.650305169,노원구,공릉동
서울특별시 노원구 월계동 476-1 ,서광석유,일반판매소,205120.431523419,457219.178357588,노원구,월계동
서울특별시 도봉구 창동 676-72,구도일주유소 파크빌,주유소,203412.785011283,460492.700285958,도봉구,창동
