자치구,행정동,보육시설정원,보육시설현원,보육시설포화도
송파구,거여2동,771,682,0.88
송파구,마천1동,442,420,0.95
송파구,마천2동,520,391,0.75
송파구,방이1동,201,152,0.76
송파구,방이2동,506,430,0.85
송파구,오륜동,93,45,0.48
송파구,오금동,901,724,0.8
송파구,송파1동,552,429,0.78
송파구,송파2동,239,231,0.97
송파구,석촌동,656,526,0.8
송파구,삼전동,716,582,0.81
송파구,가락본동,465,401,0.86
송파구,가락1동,813,698,0.86
송파구,가락2동,945,725,0.77
송파구,문정1동,341,303,0.89
송파구,문정2동,546,392,0.72
송파구,잠실본동,451,400,0.89
송파구,잠실4동,500,432,0.86
송파구,잠실6동,527,438,0.83
송파구,잠실2동,422,395,0.94
송파구,잠실3동,409,348,0.85
송파구,장지동,708,640,0.9
송파구,위례동,1865,1698,0.91
강동구,명일1동,604,567,0.94
강동구,명일2동,257,218,0.85
강동구,고덕1동,517,427,0.83
강동구,고덕2동,619,551,0.89
강동구,암사2동,526,419,0.8
강동구,암사3동,464,364,0.78
강동구,천호1동,771,632,0.82
강동구,천호3동,564,411,0.73
강동구,성내1동,774,526,0.68
강동구,성내2동,569,373,0.66
강동구,성내3동,648,495,0.76
강동구,둔촌2동,578,430,0.74
강동구,암사1동,1043,797,0.76
강동구,천호2동,819,622,0.76
강동구,길동,1009,697,0.69
강동구,강일동,1168,934,0.8
강동구,상일1동,856,823,0.96
강동구,상일2동,668,592,0.89
