교육지원청명,자치구,유치원명,공립/사립,유형,주소,,Latitude,Longitude,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,보직교사수,일반교사수,특수교사수,기간제교사수,총 교사수
북부교육지원청,노원구,공능유치원(노원구),사립,사인,서울특별시 노원구 동일로186길 27,,37.6251486,127.0741735,09시00분~18시30분,1,1,1,0,0,10,13,14,0,0,0,4,0,0,4
남부교육지원청,금천구,서울국악유치원(금천구),사립,법인,서울특별시 금천구 시흥대로38길 62,,37.4459181,126.906565,09시00분~19시00분,2,2,2,0,0,40,44,49,0,0,0,9,0,0,9
남부교육지원청,영등포구,서울영등포초등학교병설유치원(영등포구),공립,병설,서울특별시 영등포구 경인로 756,,37.5128239,126.8985316,07시30분~19시30분,1,1,1,0,1,5,5,14,0,4,1,2,1,0,4
남부교육지원청,영등포구,성심유치원(영등포구),사립,사인,서울특별시 영등포구 도림로 339,,37.507426,126.9005188,09시00분~17시00분,1,1,2,0,0,17,23,57,0,0,0,5,0,0,5
서부교육지원청,서대문구,조은유치원(서대문구),사립,사인,서울특별시 서대문구 증가로 191,,37.5779334,126.9165623,08시00분~18시30분,1,2,2,0,0,22,42,58,0,0,0,8,0,0,8
서부교육지원청,은평구,충암유치원(은평구),사립,법인,서울특별시 은평구 가좌로5길 5,,37.5849613,126.9214457,09시30분~19시00분,2,2,2,0,0,47,54,57,0,0,0,4,0,6,10
서부교육지원청,서대문구,현대홍익유치원(서대문구),사립,사인,서울특별시 서대문구 모래내로 432,,37.5836695,126.9428865,07시30분~19시30분,1,2,2,0,0,22,36,42,0,0,0,8,0,0,8
강서양천교육지원청,강서구,방화이화유치원(강서구),사립,사인,서울특별시 강서구 양천로17길 4-55,,37.5740474,126.813498,07시00분~22시00분,2,1,1,0,0,21,7,23,0,0,1,5,0,1,7
강서양천교육지원청,양천구,사슴유치원(양천구),사립,사인,서울특별시 양천구 곰달래로9길 12,,37.530912,126.835891,09시00분~20시00분,1,1,2,0,0,19,16,41,0,0,0,7,0,0,7
동부교육지원청,동대문구,서울유치원(동대문구),사립,사인,서울특별시 동대문구 한천로58길 47,,37.5997832,127.0685137,09시00분~18시00분,1,1,2,0,0,23,20,50,0,0,0,7,0,0,7
서부교육지원청,은평구,녹번유치원(은평구),사립,사인,서울특별시 은평구 은평로16길 11,,37.5998638,126.930086,08시00분~18시00분,0,0,1,1,0,0,0,14,8,0,0,2,0,0,2
서부교육지원청,은평구,라라유치원(은평구),사립,사인,서울특별시 은평구 갈현로 170-1,,37.6131626,126.9119587,09시00분~18시00분,0,0,1,1,0,0,0,18,8,0,0,2,0,0,2
강서양천교육지원청,양천구,신예유치원(양천구),사립,사인,서울특별시 양천구 신정로 290,,37.5118985,126.85295,09시00분~17시00분,2,1,1,0,0,17,18,20,0,0,0,5,0,0,5
강동송파교육지원청,송파구,기린유치원(송파구),사립,사인,서울특별시 송파구 백제고분로41길 20,,37.5077743,127.1076088,07시00분~20시00분,0,0,0,1,0,0,0,0,20,0,0,2,0,0,2
남부교육지원청,영등포구,파란나라유치원(영등포구),사립,사인,서울특별시 영등포구 도신로8길 17,,37.5031914,126.8972813,08시00분~17시30분,3,3,3,0,0,63,69,62,0,0,0,15,0,0,15
강동송파교육지원청,송파구,그림유치원(송파구),사립,사인,서울특별시 송파구 동남로23나길 6,,37.5023782,127.133007,09시00분~19시00분,2,3,3,0,0,48,60,63,0,0,0,14,0,0,14
강동송파교육지원청,송파구,아이코리아부속새세대유치원(송파구),사립,법인,서울특별시 송파구 충민로6길 17,,37.4821039,127.1333671,09시00분~14시00분,1,1,2,0,0,29,28,34,0,0,0,5,0,0,5
동부교육지원청,중랑구,나래유치원(중랑구),사립,사인,서울특별시 중랑구 봉우재로41길 12,,37.594037,127.0896277,09시00분~22시00분,1,3,2,0,0,23,59,53,0,0,0,11,0,0,11
동부교육지원청,중랑구,동일유치원(중랑구),사립,법인,서울특별시 중랑구 면목로35길 21,,37.5781933,127.08464,08시00분~20시00분,2,2,2,0,0,32,36,52,0,0,0,10,0,0,10
동부교육지원청,중랑구,미광유치원(중랑구),사립,사인,서울특별시 중랑구 용마산로115나길 7,,37.5979055,127.0966019,07시30분~19시30분,1,1,2,0,0,9,10,30,0,0,2,4,0,0,6
동부교육지원청,동대문구,사군자유치원(동대문구),사립,사인,서울특별시 동대문구 장한로5길 51,,37.5651501,127.0637387,08시00분~20시00분,0,0,0,1,0,0,0,0,18,0,0,1,0,0,1
동부교육지원청,동대문구,산정현유치원(동대문구),사립,법인,서울특별시 동대문구 회기로23가길 33,,37.5926717,127.0540691,07시00분~19시00분,1,1,1,0,0,8,7,15,0,0,1,3,0,1,5
동부교육지원청,중랑구,새샛별유치원(중랑구),사립,사인,서울특별시 중랑구 망우로 458,,37.5999814,127.1027812,09시00분~20시00분,1,1,1,0,0,19,23,28,0,0,0,4,0,0,4
서부교육지원청,마포구,서울용강초등학교병설유치원(마포구),공립,병설,서울특별시 마포구 백범로17길 9,,37.5491133,126.9440541,07시30분~19시30분,0,1,1,0,1,0,9,14,0,5,1,1,1,1,4
서부교육지원청,서대문구,이화여자대학교사범대학부속이화유치원(서대문구),사립,법인,서울특별시 서대문구 이화여대길 52,,37.5625607,126.9474535,09시00분~14시00분,2,2,2,0,0,40,46,55,0,0,0,12,0,3,15
서부교육지원청,서대문구,인왕유치원(서대문구),사립,사인,서울특별시 서대문구 통일로32길 23,,37.5854114,126.9495035,08시00분~20시00분,0,0,0,1,0,0,0,0,19,0,0,1,0,0,1
성북강북교육지원청,성북구,영재유치원(성북구),사립,사인,서울특별시 성북구 종암로15길 1,,37.5974782,127.0347375,07시00분~20시00분,1,1,2,0,0,13,15,23,0,0,0,5,0,0,5
강서양천교육지원청,강서구,예지유치원(강서구),사립,사인,서울특별시 강서구 남부순환로11가길 89,,37.5576751,126.8132196,09시30분~18시00분,1,1,1,0,0,13,20,27,0,0,0,4,0,0,4
강서양천교육지원청,강서구,진일유치원(강서구),사립,사인,서울특별시 강서구 허준로 121,,37.5663469,126.8540309,09시00분~19시30분,0,0,2,0,0,0,0,29,0,0,0,3,0,0,3
