기준_년분기_코드,행정동_코드_명,행정동_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,인구수
20221,중곡4동,11215770,2523958,6,3019579000,1148487000,98106000,24241000,335264000,175651000,103851000,93335000,218138000,87808000,734698000,27590
20221,화양동,11215710,2470026,6,14542064000,1688742000,839221000,45584000,2427643000,795808000,197982000,1335374000,888800000,526076000,5796834000,23192
20222,광장동,11215810,5284540,9,4557120000,1281925000,64618000,43703000,320962000,575500000,420371000,62117000,272213000,189993000,1325718000,33967
20222,구의1동,11215850,2683701,6,4395696000,999843000,110657000,121527000,426225000,87292000,44017000,414324000,197561000,136844000,1857406000,23124
20222,구의2동,11215860,2948328,6,4354773000,1460674000,111052000,25705000,479977000,81787000,196606000,122758000,290703000,207057000,1378454000,25604
20222,구의3동,11215870,4010979,8,12470126000,1868028000,678987000,629678000,1247595000,1023873000,687128000,124313000,1113518000,2897110000,2199896000,27836
20222,군자동,11215730,2604535,6,5586370000,1507179000,41656000,192534000,1152304000,179189000,81606000,226501000,209933000,316482000,1678986000,19068
20222,능동,11215780,2846023,6,7063629000,889680000,55717000,375795000,1188226000,1707009000,54061000,227306000,706749000,64385000,1794701000,11095
20222,자양1동,11215820,2745988,6,5152553000,1636081000,259354000,39722000,832463000,108949000,179802000,123143000,247826000,263566000,1461647000,21832
20222,자양2동,11215830,2999213,7,3543456000,1032634000,45781000,28589000,369427000,501072000,150823000,167880000,273905000,128440000,844905000,23625
20222,자양3동,11215840,4353416,8,4888986000,1175757000,486016000,25490000,430954000,355211000,401347000,18593000,346738000,169630000,1479250000,27216
20222,자양4동,11215847,2795134,6,7849912000,2195464000,189797000,23790000,901018000,44653000,80968000,271160000,674519000,386063000,3082480000,19881
20222,중곡1동,11215740,2542359,6,4489027000,1529762000,161338000,155971000,452956000,534294000,45086000,279928000,229432000,140383000,959877000,15237
20222,중곡2동,11215750,2555101,6,3924721000,925081000,120757000,84062000,661534000,118285000,153902000,135318000,404749000,125592000,1195441000,20517
20222,중곡3동,11215760,2390961,5,2662425000,641498000,44436000,95133000,390292000,575153000,103009000,118410000,117074000,102635000,474785000,15727
20222,중곡4동,11215770,2523958,6,3499490000,1158155000,140653000,21843000,358691000,225888000,99412000,168653000,266164000,91266000,968765000,27590
20222,화양동,11215710,2470026,6,20882892000,2499769000,1279915000,40681000,2740404000,1124296000,201643000,2606200000,1133684000,609923000,8646377000,23192
20223,광장동,11215810,5284540,9,5049101000,1685990000,60592000,63987000,367293000,551280000,462184000,63487000,289481000,186084000,1318723000,33967
20223,구의1동,11215850,2683701,6,4545683000,1020756000,92986000,159348000,438546000,91377000,50567000,458956000,212722000,126360000,1894065000,23124
20223,구의2동,11215860,2948328,6,4536353000,1530921000,88765000,24379000,501570000,63855000,220570000,124079000,495568000,213402000,1273244000,25604
20223,구의3동,11215870,4010979,8,13705323000,2051017000,554135000,675731000,1256397000,983848000,762704000,144239000,1819631000,3137084000,2320537000,27836
20223,군자동,11215730,2604535,6,5949765000,1584541000,38170000,218564000,1338677000,209962000,89574000,223184000,218807000,341459000,1686827000,19068
20223,능동,11215780,2846023,6,6631422000,835009000,54425000,382157000,1157898000,1676615000,56190000,205278000,558719000,65217000,1639914000,11095
20223,자양1동,11215820,2745988,6,5181895000,1736786000,200252000,34050000,839344000,154711000,189408000,132457000,243354000,233857000,1417676000,21832
20223,자양2동,11215830,2999213,7,3572948000,1063274000,46098000,41983000,384912000,477627000,163908000,163622000,267920000,115926000,847678000,23625
20223,자양3동,11215840,4353416,8,4817306000,1183199000,382126000,23576000,394116000,350156000,437574000,21278000,332991000,187333000,1504957000,27216
20223,자양4동,11215847,2795134,6,7799338000,2159852000,175934000,26322000,871183000,42087000,107412000,278677000,644458000,393920000,3099493000,19881
20223,중곡1동,11215740,2542359,6,4502119000,1620684000,117689000,115115000,425649000,473208000,46715000,279043000,203468000,243305000,977243000,15237
20223,중곡2동,11215750,2555101,6,3856516000,956250000,76450000,72194000,672389000,115459000,169346000,124804000,354454000,123936000,1191234000,20517
20223,중곡3동,11215760,2390961,5,2795557000,674500000,28862000,86001000,420927000,676459000,98616000,127857000,109032000,106083000,467220000,15727
20223,중곡4동,11215770,2523958,6,3447104000,1213717000,82630000,38781000,337463000,266864000,99584000,178826000,240140000,81699000,907400000,27590
20223,화양동,11215710,2470026,6,20366144000,2332052000,1110366000,47614000,2924734000,1272698000,213971000,2456231000,1205715000,580792000,8221971000,23192
20224,광장동,11215810,5284540,9,5107067000,1800789000,57006000,69616000,371116000,402537000,426778000,90673000,283241000,183791000,1421520000,33967
20224,구의1동,11215850,2683701,6,4600693000,945874000,95745000,149273000,491210000,89403000,55387000,406290000,194545000,122953000,2050013000,23124
20224,구의2동,11215860,2948328,6,4395955000,1479830000,138394000,54219000,508751000,78193000,225947000,112904000,234982000,210586000,1352149000,25604
20224,구의3동,11215870,4010979,8,12189621000,1928707000,655416000,734896000,1157819000,990340000,717033000,150257000,1044562000,2446038000,2364553000,27836
20224,군자동,11215730,2604535,6,6706345000,1634734000,45983000,183186000,1711944000,240598000,104245000,220530000,225812000,321553000,2017760000,19068
20224,능동,11215780,2846023,6,6281726000,759333000,54112000,331198000,1142356000,1494087000,66344000,227383000,425933000,56515000,1724465000,11095
20224,자양1동,11215820,2745988,6,5296706000,1623664000,281321000,40106000,875646000,123271000,184131000,137855000,239883000,283799000,1507030000,21832
20224,자양2동,11215830,2999213,7,3242492000,987560000,33053000,32845000,492940000,173263000,145437000,148022000,219864000,127819000,881689000,23625
20224,자양3동,11215840,4353416,8,4704337000,1045860000,455866000,25752000,418221000,327280000,440055000,21531000,319207000,192433000,1458132000,27216
20224,자양4동,11215847,2795134,6,7437983000,1950321000,201739000,23247000,813495000,30984000,92739000,276712000,549312000,376929000,3122505000,19881
20224,중곡1동,11215740,2542359,6,4548741000,1524890000,141071000,104047000,465114000,460898000,49455000,255939000,179299000,341245000,1026783000,15237
20224,중곡2동,11215750,2555101,6,3794462000,884055000,108242000,58671000,698889000,104454000,152529000,121012000,362088000,119721000,1184801000,20517
20224,중곡3동,11215760,2390961,5,2631742000,622250000,35936000,95411000,388020000,587108000,87340000,114429000,119050000,112177000,470021000,15727
20224,중곡4동,11215770,2523958,6,3516153000,1104820000,150926000,39080000,358797000,234473000,100196000,177334000,270556000,95097000,984874000,27590
20224,화양동,11215710,2470026,6,20101419000,2354624000,978333000,46906000,2789790000,1114886000,163613000,2196340000,1098306000,544962000,8813659000,23192
20231,광장동,11215810,5284540,9,4883953000,1771584000,70548000,15486000,351079000,301921000,469371000,50667000,324579000,192213000,1336505000,33967
20231,구의1동,11215850,2683701,6,4645847000,965141000,94194000,139740000,518673000,81068000,59618000,368389000,206415000,129768000,2082841000,23124
20231,구의2동,11215860,2948328,6,4794312000,1563582000,126029000,44615000,481439000,65326000,183053000,117988000,618430000,235953000,1357897000,25604
20231,구의3동,11215870,4010979,8,11755666000,1934756000,523568000,752959000,1133911000,799195000,724129000,140892000,933116000,2520220000,2292920000,27836
20231,군자동,11215730,2604535,6,5965757000,1505780000,42166000,168341000,1214149000,173011000,112633000,216284000,342788000,314239000,1876366000,19068
20231,능동,11215780,2846023,6,6230044000,736718000,48014000,359989000,1116744000,1425206000,59173000,244061000,435912000,55181000,1749046000,11095
20231,자양1동,11215820,2745988,6,5293582000,1759419000,228583000,41457000,900624000,99909000,192404000,126038000,270803000,216891000,1457454000,21832
20231,자양2동,11215830,2999213,7,3642193000,996438000,24414000,74500000,408633000,531209000,183426000,158802000,266484000,146356000,851931000,23625
20231,자양3동,11215840,4353416,8,4856193000,1142070000,481668000,17880000,499873000,266810000,443025000,19014000,336707000,187047000,1462099000,27216
20231,자양4동,11215847,2795134,6,7780537000,2017992000,185759000,20605000,896190000,31695000,114480000,285081000,626776000,363010000,3238949000,19881
20231,중곡1동,11215740,2542359,6,4339506000,1536873000,68347000,97160000,517022000,379483000,50717000,252413000,180292000,246112000,1011087000,15237
20231,중곡2동,11215750,2555101,6,3686317000,867717000,84436000,78680000,636567000,103835000,165741000,115018000,341814000,130397000,1162112000,20517
20231,중곡3동,11215760,2390961,5,2674767000,636370000,27070000,111040000,389820000,556205000,98225000,97257000,129536000,137845000,491399000,15727
20231,중곡4동,11215770,2523958,6,3398532000,1123729000,114638000,41277000,317656000,180296000,91593000,153949000,249580000,93695000,1032119000,27590
20231,화양동,11215710,2470026,6,20832387000,2332615000,864820000,52544000,2965539000,960861000,211326000,2351891000,1224070000,667885000,9200836000,23192
20232,광장동,11215810,5284540,9,5317720000,2007497000,83088000,22612000,403269000,294995000,488887000,76315000,346579000,196481000,1397997000,33967
20232,구의1동,11215850,2683701,6,4787850000,1016179000,102639000,103630000,597550000,92353000,59868000,360677000,209613000,127354000,2117987000,23124
