주소,평균가격,평균면적
서울특별시 강동구 둔촌동 630,109500.0,76.59333333333333
서울특별시 강동구 둔촌동 64,62200.0,56.65
서울특별시 강동구 둔촌동 70-5,114500.0,74.48
서울특별시 강동구 둔촌동 89,109500.0,99.39
서울특별시 강동구 둔촌동 94-16,60000.0,48.1
서울특별시 강동구 명일동 15,128000.0,54.81
서울특별시 강동구 명일동 251-1,79500.0,57.09
서울특별시 강동구 명일동 257,130666.66666666667,83.47666666666667
서울특별시 강동구 명일동 270,146000.0,117.76
서울특별시 강동구 명일동 332,73500.0,76.55
서울특별시 강동구 명일동 352-8,53000.0,83.28
서울특별시 강동구 명일동 356,89500.0,84.97
서울특별시 강동구 명일동 358,75500.0,82.95
서울특별시 강동구 명일동 359,115187.5,59.16
서울특별시 강동구 명일동 42,156766.66666666666,117.41000000000001
서울특별시 강동구 명일동 44,152000.0,112.16499999999999
서울특별시 강동구 명일동 47-12,108000.0,118.44
서울특별시 강동구 명일동 56,146700.0,131.83
서울특별시 강동구 상일동 473,75500.0,76.37666666666667
서울특별시 강동구 상일동 476,95800.0,63.358000000000004
서울특별시 강동구 상일동 490,100825.0,86.19
서울특별시 강동구 상일동 513,127562.5,71.80375
서울특별시 강동구 상일동 514,112430.0,72.2966
서울특별시 강동구 상일동 515,128000.0,72.41
서울특별시 강동구 상일동 519,133560.0,72.10371428571429
서울특별시 강동구 상일동 521,132450.0,77.88029
서울특별시 강동구 성내동 13-15,64500.0,80.25999999999999
서울특별시 강동구 성내동 194,36671.42857142857,32.72428571428571
서울특별시 강동구 성내동 196-8,92500.0,59.96
서울특별시 강동구 성내동 199-4,73000.0,84.52
서울특별시 강동구 성내동 244-5,13000.0,12.33
서울특별시 강동구 성내동 244-6,14333.333333333334,11.825899999999999
서울특별시 강동구 성내동 295,95000.0,59.93
서울특별시 강동구 성내동 30-2,129000.0,84.56
서울특별시 강동구 성내동 386-6,72700.0,84.45
서울특별시 강동구 성내동 405-9,63255.0,81.735
서울특별시 강동구 성내동 407-2,63900.0,71.85
서울특별시 강동구 성내동 412,104500.0,84.94
서울특별시 강동구 성내동 420-16,60000.0,67.7
서울특별시 강동구 성내동 428-2,81500.0,84.185
서울특별시 강동구 성내동 434-13,43000.0,34.48
서울특별시 강동구 성내동 434-32,46000.0,47.59
서울특별시 강동구 성내동 434-4,50000.0,89.4
서울특별시 강동구 성내동 443-21,105000.0,124.78
서울특별시 강동구 성내동 444-4,20500.0,24.45
서울특별시 강동구 성내동 446-17,84500.0,84.52
서울특별시 강동구 성내동 448-14,61000.0,53.095
서울특별시 강동구 성내동 452-2,145500.0,208.92
서울특별시 강동구 성내동 465-1,81000.0,80.39
서울특별시 강동구 성내동 467-1,79500.0,82.22
서울특별시 강동구 성내동 51,92500.0,84.82
서울특별시 강동구 성내동 548-4,23500.0,14.04
서울특별시 강동구 성내동 549-5,63500.0,52.57
서울특별시 강동구 성내동 551-4,24500.0,32.04666666666667
서울특별시 강동구 성내동 590,120783.33333333333,76.61999999999999
서울특별시 강동구 성내동 593,94500.0,55.17
서울특별시 강동구 성내동 598,104500.0,84.49
서울특별시 강동구 성내동 599,71800.0,64.26
서울특별시 강동구 성내동 600,71200.0,84.23
서울특별시 강동구 성내동 603,89000.0,76.41
서울특별시 강동구 성내동 605,97000.0,84.92
서울특별시 강동구 성내동 606,165000.0,115.88
서울특별시 강동구 암사동 400,146250.0,99.525
서울특별시 강동구 암사동 413,142250.0,84.988
서울특별시 강동구 암사동 414-2,131986.66666666666,80.614
서울특별시 강동구 암사동 442,96000.0,84.87
서울특별시 강동구 암사동 442-1,124000.0,84.93
서울특별시 강동구 암사동 461,72500.0,59.9
서울특별시 강동구 암사동 466-3,72000.0,111.4
서울특별시 강동구 암사동 493-14,53000.0,59.52
서울특별시 강동구 암사동 501-4,80000.0,84.68
서울특별시 강동구 암사동 508,98000.0,84.79
서울특별시 강동구 암사동 509,96465.0,63.6035
서울특별시 강동구 암사동 516-2,75000.0,78.19
서울특별시 강동구 암사동 675,151000.0,84.98622499999999
서울특별시 강동구 천호동 164-70,16200.0,15.3
서울특별시 강동구 천호동 168-6,95000.0,66.4
서울특별시 강동구 천호동 170-2,25400.0,39.15
서울특별시 강동구 천호동 19-1,90000.0,84.93
서울특별시 강동구 천호동 217-132,86666.66666666667,68.31
서울특별시 강동구 천호동 237,49700.0,57.84
서울특별시 강동구 천호동 28-32,74000.0,84.31
서울특별시 강동구 천호동 32-2,55000.0,78.8
서울특별시 강동구 천호동 333-55,139500.0,113.86
서울특별시 강동구 천호동 414,16631.81818181818,32.35545454545455
서울특별시 강동구 천호동 416-12,17280.0,16.945999999999998
서울특별시 강동구 천호동 425-5,107500.0,122.38
서울특별시 강동구 천호동 432-7,23365.0,12.4925
서울특별시 강동구 천호동 44,37200.0,27.61
서울특별시 강동구 천호동 447-17,119250.0,101.1125
서울특별시 강동구 천호동 450,114000.0,108.17
서울특별시 강동구 천호동 46-5,69000.0,84.97
서울특별시 강동구 천호동 467-11,26733.333333333332,19.076666666666668
서울특별시 강동구 천호동 50,62850.0,75.89
서울특별시 강동구 천호동 52-1,70000.0,81.35
서울특별시 강동구 천호동 528,102280.0,80.862
서울특별시 강동구 천호동 53-32,67500.0,84.92
서울특별시 강동구 천호동 53-6,60500.0,84.795
서울특별시 강동구 천호동 54-13,64000.0,84.97
서울특별시 강동구 천호동 563,60500.0,57.33
서울특별시 강동구 천호동 565,80000.0,79.98
서울특별시 강동구 천호동 566,105000.0,59.63
서울특별시 강동구 천호동 568,148500.0,84.99
서울특별시 강동구 천호동 570,112500.0,84.975
서울특별시 강동구 천호동 571,151355.55555555556,82.19333333333333
서울특별시 강북구 미아동 103-183,51000.0,78.09
서울특별시 강북구 미아동 133-12,44400.0,68.74
서울특별시 강북구 미아동 1352,61500.0,84.9
서울특별시 강북구 미아동 1353,70301.35135135135,72.1981081081081
서울특별시 강북구 미아동 1354,64300.0,70.87
서울특별시 강북구 미아동 1356,83666.66666666667,86.58633333333334
